Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Heart
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ACADL_32776	6.639243	6.691908	6.546085	6.702249	7.1716676	7.2720523	6.3338375	6.3431835	6.6928425	7.2325253	6.3311477	6.9461236	6.501299	6.0824676	6.768543	7.333788	6.813142	6.4598823	6.8876166	6.758873	7.189443	6.1436834	7.174745	6.6118026	6.585245	6.7753277	6.823705	6.6959004	7.5083733	7.1066794	6.2820807	7.5651774	7.19686	7.2188907	6.8068805	7.2110853	7.0933537	6.7860875	6.867358	6.1518793	6.5060735	6.914821	6.64488	7.0920415	6.5489855	6.4913173	6.831775	7.173748	6.324339	6.181139	6.089962
ACADM_7957	9.870965	9.807652	9.99988	9.933058	10.723958	10.599553	10.210144	9.548818	9.998099	10.33415	10.224186	10.3728695	10.474895	10.0840435	10.379459	10.153815	10.039758	10.19637	10.370559	10.229193	10.038097	9.658686	10.598262	10.323298	10.063899	10.423738	9.881185	9.76843	10.871156	10.6930065	9.868234	10.494724	10.267731	10.33356	10.375904	10.4838	10.20193	10.312811	9.874812	9.86155	10.033822	10.004925	10.00278	10.718276	9.885518	9.296815	10.065104	10.158098	9.295044	10.055347	9.886362
ACADSB_7959	5.9964805	6.159787	5.3045044	6.0592012	6.5067034	6.2882867	6.3110423	6.3542733	5.7843184	6.385313	6.4842963	6.3268566	6.257055	5.915201	6.108296	6.1375628	6.2746897	6.0976367	6.337433	6.3516335	6.050297	5.68646	6.5039086	6.8037195	6.2732286	6.7041078	6.909265	6.1860313	6.2284193	6.268485	6.349396	6.0089607	6.461525	6.6036735	6.0758004	6.265989	6.3175764	6.266724	6.320572	6.3523045	5.3409395	5.6484146	6.6555786	6.52957	5.880129	7.0788584	6.4802103	6.4206123	5.7366014	6.295922	6.326763
ACADVL_7960	10.041341	10.161331	9.412605	9.792978	10.484562	10.270877	10.103914	9.347111	10.203615	10.151263	10.025202	10.171317	10.084769	9.597176	10.340484	10.064067	9.892868	10.359594	10.069762	10.011414	10.509226	9.423415	10.358171	10.041289	9.781911	10.531257	10.16441	9.888341	10.813018	10.460484	9.782539	10.462367	10.274745	10.252626	10.329565	10.546638	10.019232	9.959644	10.076334	9.941466	9.945467	9.93515	9.996481	10.393886	9.852168	9.977001	10.27567	10.085615	9.486087	9.734869	9.920356
ACAT2_7961	2.8544881	2.5934532	3.0489275	4.719759	1.881474	4.355883	3.8981538	4.5189276	2.4138737	3.6428428	2.9179595	4.516939	3.3463545	3.474553	2.816287	3.5974672	3.5044858	2.7191074	4.0015535	3.2281759	4.616344	4.981105	1.5341794	3.571714	4.033755	3.2158852	3.8916438	4.3594384	2.3860896	4.0921936	2.0347812	4.4282174	2.80917	2.4086692	4.0041285	4.5472226	2.258969	4.8168964	3.9513595	1.7847234	4.394792	4.2066517	3.9215312	3.255002	4.343343	5.006222	3.3068588	4.5565195	5.3538136	3.5083268	3.838736
ACBD3_7962	1.8467387	3.142882	1.9985512	3.1804776	3.3779285	3.320349	3.701848	2.7307868	1.6619849	1.657459	2.097234	3.330538	1.2695628	3.2879324	0.81182796	3.3251529	2.5301795	2.9965363	3.2002566	2.2645125	2.8220534	2.3971138	3.7014935	1.4931611	3.7096565	1.3262581	3.8916438	2.256825	0.0	2.7191043	3.0762603	3.493719	1.7019058	3.5576072	1.8105016	3.481928	2.6556015	2.7138567	2.4864438	2.09109	2.9065404	2.7700615	1.9926155	3.1520636	2.2809021	4.113579	2.9714327	0.0	1.8543919	2.5647345	3.0911639
ACD_7963	3.371378	2.947458	3.2570043	3.1804776	3.6070902	2.805851	3.3003376	4.2126465	2.2039926	3.0324562	1.4002324	2.467261	3.443102	2.8216164	3.3313055	4.4476366	3.693887	4.031906	4.3781962	3.5427256	3.3373578	4.771682	3.7699387	3.2434008	3.2076783	4.3644104	4.223994	4.9357038	3.9156437	3.6856437	3.1785192	2.0068324	4.6885357	4.4483004	3.193746	3.481928	3.5363243	4.9381557	2.92164	2.09109	1.6626885	4.2563257	4.67703	3.4411616	3.6529973	4.4918694	3.403323	4.2805734	4.7634077	4.5141816	4.7256603
Ace_34123	3.5093725	3.734308	1.8351105	4.280714	2.671073	2.805851	2.5988362	2.046952	3.5634732	1.657459	1.7904224	3.4349413	3.130909	1.596067	2.963272	2.1603217	4.0807815	3.6593187	1.8993331	2.2645125	3.7162628	2.3971138	2.5985155	2.9364376	3.7689846	4.00676	5.60523	2.052933	3.5321255	2.3753116	3.2740076	3.4142387	1.3231988	3.154029	2.9811249	2.5228944	3.099798	1.5127716	2.6465442	3.4305656	1.8904759	1.8428885	2.2401533	3.0412118	2.8431213	4.4918694	3.0921164	3.303932	7.5193653	1.3998932	2.7625668
ACLY_7965	5.2030716	6.4911957	5.650183	6.524054	5.8975277	6.4203305	5.9322376	6.203002	6.104788	5.3652472	5.243647	5.9222946	6.042222	6.320196	5.332084	7.2573156	6.429277	5.9749093	5.2426214	6.296831	6.4006343	6.3209977	5.4588203	5.64404	6.3036404	5.382076	6.210557	5.300993	5.877113	5.9315615	6.137224	6.0357637	5.2115135	5.7004347	5.508132	7.094218	6.7519336	6.777988	6.8093176	6.4895115	6.273397	5.572009	6.797589	5.9574914	6.62993	6.963611	6.0143833	6.5418587	7.390337	6.068221	6.936715
ACO1_7966	4.885842	5.584879	4.48542	5.8004875	5.61099	5.719378	6.203758	4.6685786	5.4689198	5.6598077	5.4197326	4.695694	6.309324	5.276721	5.533752	6.696499	5.805525	5.8754873	5.3430843	5.5203614	6.0168676	5.163946	5.990406	5.9425545	5.489907	5.5068965	5.983915	5.2301283	6.4304905	5.2211094	4.6171694	6.022424	5.616784	5.972105	5.547341	6.5322523	5.671908	5.8694	5.1904635	6.084156	5.1561117	5.610718	5.4415827	5.7789955	5.5876584	7.1633635	6.266017	5.5255346	6.4483685	5.3532515	5.948444
