Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Thymus_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.10
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: thymus
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
BANF1_8131	114087	banf1	0.008371536774965119	0.14040117968195423	-1.0539169	1.0539169	-1.0393496	-1.0313416	-1.0270783	-1.0037156	1.007962	-1.0105072	1.0198901	1.0043399	-1.0539169	0.09023129	0.009867937	0.21220762	0.8236744	0.41825598	0.5541348	0.2366103	0.78232926	0.020113282			
BCAT2_32849	64203	bcat2	0.018001978239366962	0.18842070557204088	1.1149505	1.1149505	-1.0348061	1.0470946	1.0120959	1.0136049	-1.0256957	-1.01884	-1.0282406	-1.0220768	1.1149505	0.47634304	0.54898655	0.7730137	0.72123724	0.46935338	0.5599627	0.40587935	0.555374	0.04017367			
BCL2A1_8136	170929	bcl2a1	0.0056179775280898875	0.12600321027287317	-1.0856405	1.0856405	-1.0138832	-1.0338866	-1.0434797	-1.0228733	-1.0116702	-1.021344	-1.003828	-1.0039532	-1.0856405	0.49669653	0.31647506	0.079673894	0.15487865	0.6346965	0.47398546	0.88283175	0.7876501	0.032455437			
BEX1_32763	501625;100912195	bex1;loc100912195	0.013029315960912053	0.16942128707307855	-1.0499467	1.0499467	-1.0135604	1.000745	1.0058485	1.0112656	1.0217783	-1.0415647	-1.010859	1.0060639	-1.0499467	0.4633548	0.97623736	0.7075532	0.39284715	0.1791786	0.009127511	0.3648391	0.72043085	0.046151828			
BST1_32671	81506	bst1	0.038461538461538464	0.2857348975911145	1.0385753	1.0385753	1.008849	1.0251784	1.0385753	1.0264081	1.0358344	1.0045488	1.0268282	1.0206344	-1.0313457	0.666435	0.2389233	0.17351471	0.270635	0.038750164	0.7139455	0.11572078	0.21107608	0.3709915			
CALU_8191	64366	calu	2.016942315449778E-4	0.0413744171903507	1.0329835	1.0329835	1.0142565	-1.0003431	1.0026617	-1.0078415	-1.0275002	-1.0001734	-1.0072559	-1.0157976	1.0329835	0.09107882	0.9074415	0.5110914	0.3489826	9.774868E-4	0.9796393	0.5256374	0.09042715	2.3620106E-4			
CBR1_8208	29224;102556347	cbr1;cbr1l2	0.001582591493570722	0.08175445623873423	-1.0475031	1.0475031	-1.0252299	-1.0141184	-1.0122216	-1.0181973	-1.0084144	-1.016885	-1.0024087	-1.0182785	-1.0475031	0.03609723	0.014080316	0.39874363	0.014298451	0.17386538	0.28318995	0.6760376	0.17437223	0.020761264			
CCL21_33005	298006	ccl21	0.038461538461538464	0.2857348975911145	-1.0694041	1.0694041	1.0356457	-1.0130332	-1.0313643	-1.012392	-1.0468626	-1.0102067	-1.0498645	-1.0320332	-1.0694041	0.34986275	0.64101607	0.38628885	0.6536096	0.13083197	0.8271897	0.09549002	0.5020948	0.074302174			
CCL3_32935	25542	ccl3	0.008674601573532378	0.14040117968195423	-1.098311	1.098311	1.0197651	-1.0960534	-1.0402814	-1.0535866	-1.0216105	1.0041904	-1.01291	-1.0453912	-1.098311	0.35346696	0.07254896	0.4032915	0.031757854	0.407523	0.85840183	0.5807671	0.17168422	0.046280913			
CCNB2_8223	100364016;363088	ccnb2-ps2;ccnb2	0.007976071784646061	0.13913814113215905	1.0416505	1.0416505	1.0056458	1.021736	1.0194331	1.0171381	1.0154715	1.0123597	1.0100214	1.0024383	1.0416505	0.7392547	0.17306018	0.20028472	0.23707698	0.28483516	0.32679963	0.40851116	0.8650551	0.0045699123			
CCND1_8224	58919	ccnd1	0.0393527766679984	0.28996035082810373	-1.1647465	1.1647465	1.0451316	1.0487424	-1.0119483	-1.0448613	1.0046313	1.0027434	-1.0404942	-1.1647465	-1.1269006	0.42154524	0.42451692	0.89498717	0.42950144	0.9296378	0.9556016	0.5534263	0.020799773	0.27741075			
CCNE2_8227	362485	ccne2	0.028491171749598716	0.25064862733159904	-1.0832965	1.0832965	-1.0144371	1.051011	1.0219644	1.0099604	1.052585	-1.0111825	1.0418204	1.0088143	-1.0832965	0.78182304	0.07343014	0.594403	0.7918485	0.15754467	0.76529926	0.40568528	0.75899935	0.024571903			
CCNG1_32302	25405	ccng1	0.009264853977844914	0.14040117968195423	1.2478998	1.2478998	1.1394496	1.2478998	1.065482	1.0341326	1.2134758	1.1512231	1.2028301	1.1454198	-1.182203	0.06720401	0.023616496	0.46849707	0.70479417	0.10611595	0.118916065	0.13253683	0.27915204	0.032672048			
CCNH_8229	84389	ccnh	0.03717545239968529	0.2849155443878713	-1.0271064	1.0271064	1.0098462	-1.0252421	-1.0071315	-1.0116897	1.012197	1.011256	-1.0052235	-1.0032297	-1.0271064	0.5600417	0.20332594	0.54559207	0.40251046	0.2456202	0.22349444	0.6405666	0.826444	0.044650313			
CCT2_8233	299809	cct2	0.00398406374501992	0.10915897847305792	-1.048303	1.048303	-1.0298661	-1.0154952	-1.0152757	-1.027311	-1.011141	-1.0404916	-1.0070848	-1.0059233	-1.048303	0.050091892	0.28729922	0.36333945	0.1432185	0.2371579	5.1082403E-4	0.5118161	0.6913846	0.04489735			
CD3D_33153	25710	cd3d	0.028205641128225645	0.24964070574565023	1.0201893	1.0201893	-1.0013827	1.017341	1.00969	1.0066992	1.0201893	1.0086148	1.0123198	1.0026592	-1.0099956	0.7423809	0.09408684	0.32598117	0.29648468	0.014073858	0.24721433	0.13814762	0.65229964	0.29827815			
CD74_8252	25599	cd74	0.009480545131345053	0.14128270385229436	1.0932866	1.0932866	1.0433275	1.0259225	1.0172577	1.0070859	-1.008513	1.0215311	-1.003107	-1.0186571	1.0932866	0.33038533	0.36480793	0.57629967	0.7583614	0.6327797	0.5054723	0.8291416	0.49446175	0.013851494			
CD81_32607	25621	cd81	0.016265060240963854	0.18236789865088898	1.0813758	1.0813758	1.0554127	1.0813758	1.0487957	1.0568652	1.0629673	1.0601065	1.0457796	1.0631541	1.0652469	0.017684374	0.07338432	0.112383515	0.07938807	0.009927023	0.02865075	0.09451077	0.010219103	0.007769236			
CD83_32673	361226	cd83	0.017420905086103323	0.18812734010971896	-1.0550978	1.0550978	1.0012665	-1.0325928	-1.0074714	-1.0155596	-1.0126868	-1.0204577	-1.0245829	-1.0550978	-1.0239532	0.95007515	0.10461228	0.47174272	0.17283154	0.44293863	0.14503461	0.1187791	0.012689171	0.074415304			
CD97_8254	361383	adgre5	0.040096230954290296	0.2912327664687064	-1.0626041	1.0626041	-1.0363799	1.0338885	1.0113711	1.0205765	1.0075221	-1.0062934	1.0279813	1.0024984	-1.0626041	0.13663597	0.008206695	0.78402424	0.37711686	0.81634253	0.7776126	0.35156515	0.857616	0.06497891			
