Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Adrenal_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:34.54
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 14 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: adrenal
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
CKM_32556	24265	ckm	8.232146532208273E-4	0.07800938856711649	-1.8311017	1.8311017	1.1090493	1.0889764	1.117038	1.1763167	1.1863682	1.1086832	1.1380585	1.1564015	-1.8311017	0.07504846	0.115727104	0.061485264	0.10119346	0.061313715	0.17027408	0.018121054	0.08426377	0.08264702			
CKS2_8325	498709	cks2	0.005218787635487756	0.20164751323255922	-1.136457	1.136457	-1.0805889	1.0001538	-1.0011185	-1.0295315	-1.0396059	-1.0369567	-1.0953877	-1.0673937	-1.136457	0.038793452	0.997712	0.9808725	0.39426237	0.3037747	0.5328927	0.065642	0.116096616	0.007019643			
COASY_8346	287711	coasy	0.03497202238209433	0.3682239393670249	-1.193743	1.193743	-1.0037724	-1.0413846	1.0033021	1.0994833	1.0135688	-1.0165989	-1.0438298	-1.193743	-1.1361277	0.95436937	0.60388786	0.9563017	0.19876295	0.8341821	0.8297249	0.6051724	0.011447279	0.03789471			
COL12A1_32305	25683	col12a1	8.024072216649949E-4	0.07800938856711649	-1.5944271	1.5944271	-1.0581254	1.0735185	1.0234684	1.2888904	1.0626227	-1.0070437	-1.1640478	-1.2049003	-1.5944271	0.6003199	0.5019227	0.85486746	0.007621006	0.66075134	0.9508184	0.19177645	0.17099915	0.0014737451			
COL1A2_8353	84352	col1a2	0.04271457085828343	0.40095281135841526	1.1535361	1.1535361	-1.0002058	1.0939738	1.1058972	1.1417863	1.1535361	1.0364504	1.0032636	-1.0080698	-1.0411396	0.99482435	0.10350423	0.033008948	0.058813058	0.0023240212	0.31031898	0.9410634	0.9037109	0.26998952			
COL3A1_8354	84032	col3a1	0.027628702047306698	0.3373074667125173	1.1334423	1.1334423	1.000267	1.0687913	1.0757003	1.1334423	1.1127503	1.0232872	-1.0188353	-1.0580121	-1.047333	0.9941531	0.109988935	0.10608731	0.025933385	4.422885E-4	0.5915319	0.38528392	0.31647038	0.33587494			
COL4A2_8356	306628	col4a2	0.033817386114979114	0.3682239393670249	1.1083236	1.1083236	-1.0451399	1.0679014	1.020441	1.1083236	1.0932668	-1.0208635	-1.032295	-1.0690309	-1.0773264	0.20916964	0.16443779	0.6564378	0.0676161	0.03033318	0.7403022	0.41029143	0.2204971	0.07734729			
CP_8366	24268	cp	0.0018156142828323583	0.11429191341637737	1.1320012	1.1320012	-1.0023646	1.058097	1.0820307	1.1034157	1.1320012	1.0463858	1.0189387	1.0142804	-1.0532491	0.9391605	0.09586222	0.10204123	0.01448532	8.499285E-4	0.1288158	0.5293568	0.74788946	0.114608556			
CPT1B_8373	25756	cpt1b	0.02349193708938881	0.32464551949919257	-1.3071778	1.3071778	-1.0276355	-1.0321046	-1.1991682	-1.0115689	1.1099168	-1.1051681	-1.1246789	-1.2110614	-1.3071778	0.7518545	0.8229849	0.04477158	0.8993767	0.24593607	0.23135015	0.23507744	0.051032636	0.017186064			
CRISPLD2_32789	171547	crispld2	0.02987768197313014	0.3497446301560528	1.2081585	1.2081585	-1.0438317	1.09768	1.0840125	1.2081585	1.0894748	1.0160577	-1.086358	-1.1291838	-1.1493767	0.41987324	0.04830721	0.3289455	0.047471505	0.09706423	0.82257384	0.23268455	0.29207814	0.04177831			
