Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Uterus
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ACD_7963	4.80139	4.622692	5.3060546	5.3210835	4.559874	5.3511515	6.3062906	4.52271	4.8966365	6.210342	5.6973343	6.089337	5.2202764	5.1825247	5.365553	5.6536236	5.8823934	5.315479	6.1224504	3.4796312	5.604326	5.1615396	5.054717	4.5494747	5.336062	5.4148374	4.955938	5.031408	6.2952814	5.0197062	5.3796697	5.3739448	4.267234	5.7223544	4.986842	6.2538686	6.1116204	5.291303	5.7032423	5.3748045	5.1661835	5.9981527	5.1758847	6.2293158	5.713508	5.23154	5.1013618	5.350189	6.200363	5.4024773	5.281861
Ace_34123	4.118066	3.5853152	3.727049	4.664504	4.1198626	3.7628024	3.7991269	4.52271	4.380688	4.3213406	4.145489	3.9838467	3.1054778	3.610152	3.8715098	4.958154	3.103313	3.3159761	3.4791152	3.8619683	3.5737991	4.64124	3.9039402	4.3605676	4.1530595	4.612992	3.8135	4.3743725	4.988549	4.3782077	4.265507	3.6601107	3.7192543	4.3644643	4.46435	4.1126347	4.0194855	4.065961	4.880393	3.9638553	4.6866164	4.291001	3.923434	4.1497774	4.4884605	5.23154	3.349683	3.9731958	4.301497	3.8051891	4.2387433
ACLY_7965	8.55092	8.331467	8.843804	8.909591	8.553307	9.534273	8.480723	8.475799	8.8485	8.637958	8.847321	8.648142	9.362187	8.813829	7.4613194	8.9547825	8.5380745	8.861296	8.796569	8.175981	8.652061	8.504511	8.634865	8.64972	7.3945675	7.772757	9.165719	8.9758	8.739604	8.649508	8.930973	7.595176	8.329556	9.033034	8.462109	8.633865	8.60748	8.3738165	8.68085	8.985369	8.593368	8.628942	8.438047	8.724519	9.214725	8.899718	8.199999	7.399303	9.030075	8.47874	7.7277656
ACMSD_32377	0.0	0.4931514	0.68894124	0.0	0.0	0.0	2.0272536	0.0	0.0	1.9715247	1.3730948	0.0	0.0	1.0848371	1.2410232	0.6796068	1.2513914	0.0	1.4809744	0.97610855	0.0	0.0	0.0	0.6551603	1.5545398	0.0	0.72507614	1.9967397	2.118382	0.0	0.0	1.0763721	1.4985558	0.0	0.6800062	1.0868406	1.8665257	0.68321306	1.1119587	0.7345026	2.26544	0.0	0.64793134	2.0847473	1.1541631	1.484687	1.1038538	2.290609	0.0	2.6575463	3.0271137
ACO1_7966	6.0157943	6.216317	7.7207594	7.427368	5.7821426	7.1508765	6.5811925	6.724634	7.4299984	6.9678316	7.122593	7.8814774	7.8768578	7.836622	5.5657334	6.6905503	6.8443418	7.809758	6.954284	6.2922697	7.725789	6.152854	5.8701	6.3684244	6.318093	6.272028	6.790537	6.892928	6.8985615	7.2348804	7.429529	6.336789	6.924687	7.510058	6.3939695	7.367338	7.0516443	6.026921	6.535271	6.7969446	6.3164873	7.478722	6.085266	7.2507124	7.6046433	5.929605	5.8975625	6.332396	7.07008	6.3440084	6.7199483
ACO2_7967	5.5051866	5.2040396	5.7119465	5.8024735	5.9874196	6.01279	5.8325944	5.8875093	5.8722143	5.6837373	5.404176	5.670337	6.2235675	5.247832	5.6465025	6.285735	5.2842736	5.726864	6.318685	5.362358	5.025665	6.0448294	5.996888	5.8979344	5.240719	5.2013607	6.2497034	5.954564	5.8699594	6.1705527	5.878344	5.7004795	5.028732	5.683585	5.5096593	5.4500623	6.069602	5.986145	6.3109536	6.060016	6.22152	5.502785	5.972561	6.1546865	6.2664905	6.1526704	5.443719	5.319266	5.932062	5.319654	5.809122
ACOT1_7968	0.0	0.85999507	2.7024138	0.0	0.91512716	1.6302708	3.593905	0.0	3.4900007	3.4888213	1.7593195	2.8561451	2.3493574	1.697005	0.0	1.4880571	3.214786	1.7608685	3.8213763	1.7731019	4.2757916	0.0	0.62038267	0.6551603	2.0803165	2.7798295	1.2053773	0.0	3.0622163	1.9675817	2.2161715	2.287042	0.0	2.7223697	1.4887412	3.148704	3.5343275	1.775197	3.190571	1.2188725	1.8232087	3.3202393	1.0934517	3.4230435	2.0228577	1.484687	1.1038538	2.4128194	4.1826024	1.748383	2.4035575
ACOT2_7969	3.1988447	1.1522146	2.5599322	3.4254794	2.4406004	2.7199638	2.7086964	3.1309166	2.0699131	1.6741749	1.7593195	4.301759	2.3493574	3.3963864	3.1988032	3.8913388	3.103313	3.1316419	3.029539	1.9640127	3.641729	2.144732	0.62038267	2.6259995	4.1530595	4.34791	2.4779143	3.4020545	1.5874804	3.193951	3.513342	1.9152596	1.4985558	3.4328563	0.6800062	3.148704	3.7624588	0.68321306	4.3336325	2.316998	2.4443169	4.8055453	2.6093478	3.2698343	4.028516	0.0	1.7218369	3.0622492	3.6666687	0.6689855	3.7178695
ACOT3_7970	0.66397756	2.9869156	3.792241	4.124597	2.4406004	3.2300253	3.4388385	0.0	1.8314278	3.175527	4.07917	3.2601871	2.3493574	3.9082556	2.1405015	2.8108609	3.8193347	3.4794037	3.131361	0.97610855	3.7686863	2.8627195	1.0528094	2.3287034	3.1292171	2.6509805	1.8527786	2.532455	3.7760887	3.3667536	2.9583292	3.0368063	2.0153055	3.6891942	1.4887412	3.3208702	4.1860623	2.5473745	4.4531884	2.1107368	2.061203	4.774296	2.8552158	4.1497774	3.433549	2.6771007	3.2659776	2.525481	3.372866	1.748383	3.1484377
ACOT4_7971	0.0	0.0	0.0	2.0161564	0.52893895	0.0	0.0	0.0	1.188683	2.7747655	1.7593195	0.83195627	0.66460925	0.0	0.0	0.0	0.7573259	0.0	0.0	1.2932105	1.1031003	0.0	1.0528094	0.0	0.0	0.0	1.8527786	0.0	1.8772156	0.0	0.0	0.6363238	0.0	0.0	0.0	0.0	1.5776827	0.0	2.4971156	0.0	1.1822708	0.0	1.4333651	2.0847473	0.0	0.0	0.0	1.4489305	0.83183545	1.4698149	1.6533037
