Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Spleen
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ACADL_32776	3.2036898	3.14659	3.3574777	2.492344	3.685054	3.4878683	3.1527536	4.6247954	3.5240233	2.9512172	3.5887904	3.7045522	3.0631406	3.0633786	2.6186345	2.9252667	2.887198	2.767179	2.5000281	4.380453	3.3545916	2.736401	2.6678705	3.196725	2.4704902	3.7051795	1.8132123	2.5391638	3.3487906	3.1818643	2.8283074	2.7481825	2.9744682	1.8131291	4.0082307	4.0203567	3.742225	2.706798	3.8407357	3.6660142	3.385154	3.5583453	3.5561442	4.1930833	4.0056386	1.8461056	2.3149712	3.0644517	3.809025	3.62497	3.6437702
ACADM_7957	6.937276	6.7666426	7.091474	7.0621886	7.178196	7.30614	7.0908256	7.860495	7.3246827	7.8512397	6.837029	6.9931045	7.170629	7.465181	7.1061053	7.02227	7.0005903	7.0633807	7.424211	7.002587	7.2432075	7.2041445	7.149874	7.303977	7.3700943	7.221286	7.2702355	7.775891	7.2768197	7.2281938	7.4178147	6.6058645	6.8590994	6.794274	8.281768	7.6084313	7.172705	7.2390256	7.3618255	7.3637714	6.6692905	6.8925967	7.057744	8.229848	7.409083	7.3770638	7.114448	7.1221313	7.3034177	7.1296196	7.3611584
ACADSB_7959	4.3723593	3.5203133	4.285324	4.7665515	4.598719	4.634841	4.9748235	5.2735815	5.0228577	5.0332494	3.463228	4.8622823	4.047307	4.2778506	4.4979362	5.206031	4.7329903	4.694344	4.855082	4.4365735	4.28229	4.8334537	3.9335487	5.0736055	5.187059	4.8475475	4.400122	5.4955277	4.517887	4.1736693	4.7159696	4.0463333	4.3258634	4.442333	4.510892	4.7890973	4.2907963	4.954801	4.009413	4.8065777	4.3703957	4.2840023	4.7622385	4.848818	4.730152	4.554126	4.0792747	3.7307305	4.6285086	3.9374352	4.0648675
ACADVL_7960	6.773643	6.492336	7.298293	6.669082	7.081479	6.8035564	7.0788417	8.426268	6.4963546	7.353838	6.811493	6.732333	7.4790297	7.202277	7.229865	7.1243176	7.3709335	6.766308	7.029219	7.3553944	7.341206	6.982063	6.7200136	7.041111	7.081645	7.203261	6.5158987	7.6199203	7.28338	6.9215393	7.278948	6.787541	6.63404	6.72739	8.285649	7.2742276	7.172705	6.7498713	7.3461547	7.067441	6.933682	6.8256154	7.098779	8.393606	7.5468254	7.1410375	6.73823	6.9797225	7.2680225	7.1957064	6.7072663
ACAT2_7961	4.253147	4.0168076	4.6659026	4.623438	5.173609	5.010092	4.1169343	4.9519687	5.1349173	5.82772	4.325895	4.0041766	4.57841	4.528436	3.9445508	4.522755	3.8787928	4.598783	4.5066843	4.4365735	4.9785004	4.7491503	4.4280844	4.4512568	4.567521	4.4793897	4.9228063	4.2815495	4.517887	4.374231	4.8957133	3.9731734	3.544806	4.6730957	5.3951497	4.3243933	4.0806365	5.252527	4.7894897	5.2433414	4.5748672	4.6804056	4.588737	4.731238	5.6090326	5.2554655	4.9270434	4.84926	4.874276	4.4518533	4.510206
ACBD3_7962	2.7547133	3.14659	3.5766666	3.428669	3.685054	3.7538025	3.7446017	4.4444866	3.1501954	2.9512172	2.8109345	2.8111742	3.0631406	3.3503697	2.6186345	4.2164326	2.4777367	3.3400598	4.3507814	3.2112725	3.4513972	2.736401	2.6678705	2.4694154	3.8705583	2.4936059	4.400122	3.4093964	3.2450662	2.6742785	3.2806177	2.5611415	2.9744682	2.254308	4.962692	2.825978	3.6435788	2.520773	3.7483745	2.4587722	3.6791975	3.5583453	2.9852931	4.5110908	3.882923	2.8187814	1.3731631	3.0644517	2.8329465	2.671375	2.5464108
ACD_7963	5.2148137	5.0647883	5.7541995	5.7672987	5.7115617	5.4455624	5.39777	6.038597	6.0773134	6.211638	5.886748	5.289743	5.736682	5.8357854	5.946541	6.324697	5.980828	6.0381503	5.887819	6.137463	6.0512166	6.056177	5.6204147	6.090965	6.013294	6.2833385	5.878419	5.836582	5.846523	5.679287	5.7596374	5.3586392	5.4235845	5.6979194	5.878993	6.0547976	6.1106377	5.642949	5.9195886	6.521196	5.7482276	5.488405	6.0685325	6.11714	6.2162337	6.1686773	5.5582976	5.9817967	4.983057	5.5891595	4.909329
Ace_34123	2.5675144	3.3078675	3.0989165	3.6217864	2.9854198	3.0670135	3.478817	4.0825562	4.066564	4.5902452	3.7042944	2.8111742	3.7293534	4.056451	3.035335	2.432272	3.4665625	2.1106029	2.0372567	2.9277706	4.0547	2.5496464	4.0154467	2.8784254	4.117059	3.804172	3.5722876	3.8713975	3.4455554	4.1001015	2.8283074	2.0935025	3.2302089	3.0945923	4.217758	3.8781984	3.0135417	3.76946	2.4442878	3.3212028	2.7029521	2.49064	3.7333758	3.933959	3.4360914	2.8187814	3.600823	2.5632396	4.0279675	2.3721018	4.116119
ACLY_7965	7.1187377	7.088696	7.0825515	7.214777	7.6164045	7.4300475	7.5254602	8.024721	6.989186	7.944334	6.946656	7.535812	7.1949825	7.792975	7.499519	7.3156695	6.91576	6.872276	7.1043816	7.7590866	7.7413096	7.5225277	7.203274	7.2704444	7.6500616	7.803022	7.164641	7.4971924	7.5459614	7.344259	7.8526716	6.8295975	7.028696	7.2701197	8.28952	7.865531	7.4162545	7.6036625	7.846973	8.071732	7.587379	7.1252394	7.48046	8.344399	8.027876	7.478522	7.3222694	7.756465	7.6932254	7.346137	7.4636464
ACO1_7966	4.8542256	5.4575925	5.340579	5.7942796	6.173379	5.9745646	5.39777	7.7352557	5.397098	5.9450016	5.3259993	5.8870225	5.883759	6.110057	6.062069	5.7487063	5.121832	5.4641232	5.499564	6.2975526	5.70361	6.1740327	5.12575	5.448208	5.6455016	5.822273	5.335917	5.9532323	5.657455	5.4615793	5.8712754	5.3586392	5.569652	5.019055	7.4681597	5.2010183	5.0757008	5.339522	5.9195886	5.435508	5.926884	5.4121866	5.435693	7.5958867	6.632773	5.6277614	5.231844	5.8651075	5.750353	5.641834	5.745627
ACO2_7967	4.189631	3.0586443	4.221729	4.082119	4.4435186	3.5590868	4.019987	4.537456	4.2099314	4.9902315	4.588964	4.5278234	4.1169376	5.0124316	4.682578	4.3259277	2.6969454	3.6571267	3.746159	5.1240325	3.9258518	4.7491503	4.6494474	3.7768347	4.6217628	4.800365	4.5103335	4.6005383	4.222582	4.4353337	4.0610757	3.7283952	3.342871	4.6002007	5.1446657	4.9036164	4.2240877	4.8401384	4.6432714	4.939387	4.256154	4.2840023	4.917096	5.4791036	3.6008964	4.385236	4.384032	3.8984609	4.0279675	3.880123	3.956556
ACOT1_7968	0.86497813	0.0	0.8803808	1.8361292	1.9875116	0.6486684	1.0892574	1.2923685	0.0	0.0	0.0	0.0	0.8619907	0.0	0.0	1.3020612	1.9038626	0.0	0.8287621	0.8688187	0.0	0.0	0.0	0.0	0.932412	2.4936059	0.0	1.3808255	0.0	0.923871	1.8541217	0.86152464	0.8173656	0.0	2.122234	0.8166965	0.0	0.0	0.0	0.9256177	0.0	0.82378626	0.0	2.25065	0.72674245	0.8992488	0.84413606	0.0	1.3398898	0.0	1.1443387
ACOT12_32718	3.5456047	0.0	2.783672	0.598462	0.0	0.6486684	0.6450767	0.0	0.90712637	1.5479451	0.0	1.0022291	0.8619907	0.0	1.0202973	0.79319227	0.0	0.8715908	0.0	0.0	0.0	0.0	1.477661	1.4932771	2.2122133	0.0	1.8132123	4.9008727	0.0	0.0	0.0	1.3972087	0.0	1.174418	0.0	0.8166965	0.91412866	0.0	4.0868897	1.8869371	2.3035364	0.82378626	0.0	0.0	0.0	0.8992488	0.0	1.7887553	0.0	0.6750994	1.4934791
ACOT2_7969	2.352352	2.9649875	3.5766666	2.734464	2.9854198	2.6110508	3.7446017	3.5395546	2.426676	3.9476688	3.0036542	2.5886757	3.0631406	3.4749563	3.496126	2.7788892	3.2057698	3.4536693	2.2871187	3.0764742	3.2508202	3.050042	3.0250063	3.457335	2.2122133	3.896806	4.007683	3.514391	3.7021034	0.923871	3.9836888	2.3461874	2.8273072	2.5916967	3.763017	3.9510279	3.4234083	3.6833863	2.1871517	3.7647882	3.272122	3.1210904	2.4886627	3.2125285	1.2077656	3.6142657	1.3731631	2.9159245	3.2360728	2.9191062	3.5721657
ACOX1_7973	5.18255	5.1092443	5.4556203	5.3429036	5.1130867	5.407475	5.1682005	6.334701	4.140028	5.303053	5.0915155	4.39656	4.5281777	5.0124316	5.2486916	5.147572	5.3652034	5.2606115	4.5066843	5.3157783	5.6434126	4.951336	5.12575	5.185784	5.536774	5.177996	4.5624347	5.99011	5.5086246	5.4615793	4.510601	4.5774174	4.481634	4.932625	5.9195247	5.396224	4.5846734	5.4737825	5.293006	5.5507274	5.726939	4.3399305	5.461093	6.6254644	6.2288857	5.4956894	4.384032	5.177548	5.1787286	4.8602285	4.690092
ACSM3_7976	3.3268871	2.2221696	2.1254675	1.0202022	2.3086033	0.0	0.0	1.7720957	1.4597532	2.5385406	1.0020893	1.0022291	0.0	1.5057994	1.0202973	0.79319227	1.4998289	0.8715908	2.0372567	1.4072624	0.7739307	0.0	0.9202813	0.0	2.6894746	0.0	1.8132123	1.3808255	2.1807282	1.4825375	0.0	0.0	0.0	1.8131291	0.0	0.8166965	1.4692928	1.3671651	0.0	0.0	0.83780825	0.0	0.0	0.8088334	0.72674245	0.0	0.84413606	1.7887553	0.8202074	0.0	1.7743741
ACSS1_32386	5.9296913	6.275401	6.3820515	6.005276	6.3054624	6.1346707	5.813899	8.279224	5.855365	6.011051	6.0702024	5.935119	5.822552	6.147981	6.60975	6.1270766	5.84977	6.1434965	5.0703354	6.3423095	6.019991	6.7631073	6.3135834	6.110048	5.972131	5.913788	5.8154025	6.6846085	6.219237	5.704328	7.2126613	5.5468826	5.862052	5.732439	8.607429	6.769696	5.2196198	6.09031	6.1715493	6.258477	5.945435	5.5841436	6.0685325	8.390377	7.323192	6.3631516	5.959529	5.272243	6.01234	5.641834	5.5911846
ACSS2_7977	3.4403868	3.0586443	4.0121665	4.1671453	4.028735	4.4220943	4.1630697	4.5071273	3.8206484	4.8529005	3.5887904	3.325938	3.0631406	3.589634	4.4979362	3.5841892	3.0552592	3.2167332	2.997373	3.4481087	3.9258518	3.4208615	3.7543294	3.457335	3.458527	4.217307	4.0809574	4.1573524	3.8508525	3.031676	4.852833	3.8961048	2.663412	4.35641	4.6132803	3.8014958	3.8345554	4.1997466	4.2971025	4.4974804	3.765251	3.1210904	3.964074	4.8106794	4.9600167	4.124063	3.5030258	3.6389363	3.1138003	3.7581797	3.956556
ACTA1_7978	1.7924124	4.0168076	2.9498878	3.122925	3.8424618	3.978263	3.478817	3.7090135	2.6442807	3.4087145	2.3252695	1.5879338	0.8619907	1.5057994	3.6219587	2.432272	2.219148	2.1106029	0.8287621	0.8688187	2.394935	2.0829086	2.8574615	0.93178797	3.1978931	2.4936059	2.779587	1.3808255	1.2711444	1.4825375	2.9953353	1.3972087	2.478483	2.254308	2.122234	1.3349894	3.2992895	1.3671651	3.0193655	1.4849088	2.0528789	2.278052	1.7252121	2.0025864	1.5678834	1.8461056	2.3149712	1.7887553	2.2715151	2.1954234	2.5464108
ACTA2_33040	6.5890474	6.1744084	7.5127482	7.1742697	7.73829	8.168416	7.4106355	7.2175064	7.148978	7.6586285	6.7456036	7.745901	6.7562003	7.3149185	6.934797	7.4845877	7.2889843	6.9224772	7.5490417	7.185661	7.0786877	7.3472247	6.6703124	6.9592934	6.9069963	7.256674	7.717813	6.7397866	7.4500904	7.07342	7.4965343	6.4256535	6.622926	7.355649	7.3018103	7.1010294	7.0624733	7.481465	7.1252394	7.4918528	7.8899593	7.109236	6.60133	7.3978896	8.132585	7.637398	6.480039	7.061549	7.324246	6.339114	6.8653965
ACTC1_32706	4.0535398	3.0586443	1.8166338	2.492344	2.7930737	3.4129508	2.6027424	2.1314895	3.1501954	2.9512172	2.8109345	1.5879338	3.434366	3.6958635	3.205814	3.0581512	3.5811765	3.5589817	2.5000281	3.4481087	2.7397137	2.901728	4.0154467	2.4694154	3.3340878	2.4936059	3.094695	1.7681886	2.7342474	2.8640163	2.421926	2.5611415	2.478483	2.8649468	3.0952108	1.7155	3.1634786	3.6833863	2.6624522	3.944105	2.7029521	3.1210904	3.35405	2.6467526	2.6413577	4.1939206	2.0637643	2.7503326	2.0224173	0.6750994	2.5464108
ACTN1_7980	7.169006	7.121622	7.152434	6.9285345	7.6734037	7.591631	7.424907	8.092678	7.1037893	7.944334	7.430416	7.2523527	7.1949825	7.68748	7.3161807	7.3613977	7.2548547	6.9805	6.8850894	7.656486	7.5303664	7.5539284	7.509176	7.2274017	7.3700943	7.534086	7.2702355	8.018322	7.5889635	7.3835473	7.8362556	7.346581	7.4367437	6.904342	8.266137	7.732407	7.1277943	7.382506	7.6440516	7.6616883	7.058229	6.5334916	7.416979	7.804332	7.957401	7.2840323	7.412573	7.1802716	7.1793523	6.7761126	7.5026865
ACVRL1_32420	7.0929313	7.190484	6.9805775	6.3615584	7.4263644	7.565926	7.4106355	7.9449434	7.251984	7.745267	7.0594263	7.102454	7.362022	7.573658	7.515823	7.4487224	6.501065	6.5406227	7.0377665	7.959133	7.865081	7.8805256	7.4066687	7.3286247	7.5204325	7.7419024	7.0688286	7.490773	7.809528	7.558532	7.3653874	7.360992	7.172836	7.2040095	8.064028	8.0088825	7.5852404	7.375661	7.7550235	7.9299345	7.350414	6.854703	7.7149553	8.020243	7.918878	7.399413	7.14719	7.2747936	7.186953	6.9876065	7.3180337
ACY3_32489	5.2148137	6.342112	5.685146	5.061275	6.499208	6.0751753	5.9905987	5.8700895	6.020088	5.8519516	5.7589855	5.8372664	6.0353165	5.788547	5.465653	5.7487063	6.081624	5.4641232	5.868783	6.371394	5.835011	5.8889594	5.696873	5.6442165	5.8861036	6.2130175	5.898827	6.49236	5.846523	6.0936007	5.9947515	5.6907344	5.371413	5.8936377	5.7723823	6.338846	6.1106377	6.123376	6.290953	5.9992065	5.999698	5.5370684	6.39277	5.241761	6.2162337	6.1335545	5.231844	6.4281497	5.576076	5.8942666	6.1539264
