Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Lung
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ACACA_32532	7.600089	8.201398	9.125673	7.8437386	7.7627296	7.198051	7.564994	8.081504	7.7514467	7.3905234	7.454543	7.289829	7.3727155	8.242012	7.826116	7.7755227	8.15721	8.841042	8.332179	7.5081186	8.815972	8.291274	8.009371	8.407843	8.530861	7.887871	7.671845	8.1165695	8.4903555	7.807248	8.9525585	7.523518	9.02684	7.9097896	8.347877	7.6678195	9.098516	7.77951	8.001535	8.029943	8.321404	7.4505467	7.1202984	8.104749	7.9884787	8.585918	8.816757	9.203294	6.614669	8.865731	7.513989
ACADL_32776	3.7679517	4.7421913	4.796077	4.357499	2.3925037	2.916035	3.8877492	3.1512258	3.6858013	4.207375	2.7057855	3.6959884	3.3502536	4.0344796	3.5378246	3.6705976	3.9693396	4.517629	3.5247178	3.9854472	4.298436	4.750176	4.579102	3.8927078	3.712118	4.134647	4.2406597	4.8138776	3.6574762	3.7552874	3.693714	4.150375	3.887932	2.4458847	3.76496	2.6384788	4.137767	3.456745	2.8398373	3.5926163	3.688528	3.4083948	5.221244	3.710522	4.217035	3.8689742	4.693632	4.2163296	4.053194	4.6188016	3.6651719
ACADM_7957	8.092315	7.9750338	9.372974	7.856917	7.9193053	8.064309	8.118203	8.129159	8.632661	8.30159	7.95424	7.7567506	7.7373934	7.785891	8.048978	7.990463	8.182917	8.684845	8.034684	7.8748016	8.554497	8.730956	8.245427	8.496593	8.450913	8.170575	8.213594	8.233153	8.318989	7.943759	9.070327	8.589041	8.749012	8.029248	8.284882	8.099528	8.723071	7.8488064	8.050771	8.0258665	8.2171545	7.8913846	7.93369	7.826001	8.013256	8.636137	8.51706	8.66628	8.131654	9.019019	8.159922
ACADSB_7959	6.1487584	5.7624407	6.2477283	5.395972	6.230419	5.3742266	6.1625986	6.0152316	6.03189	6.114887	6.1545215	5.8589697	5.8335447	6.2999372	6.129132	6.4011774	5.6683483	5.9506764	6.0992794	6.098439	6.0833426	5.910072	5.8545413	6.9998674	6.9314065	5.8330445	6.3271747	6.6720333	6.045792	5.612677	6.2238894	6.7035937	5.846277	6.1129465	5.9843626	5.143524	6.500053	5.7608643	6.0447397	5.452205	6.3046665	6.1277695	6.3023186	5.426295	5.984689	6.0009017	6.098557	6.0492735	6.32843	6.2078614	6.4270787
ACADVL_7960	8.245178	8.361498	9.413199	8.262992	7.7985854	7.883386	8.092686	8.558463	8.22191	8.26853	8.012717	7.97819	7.8875885	7.909013	8.197954	8.296288	8.55326	8.802238	8.401074	8.250137	8.943534	9.04224	8.524475	8.174127	8.698499	7.8685226	8.294174	8.425651	8.390662	7.943759	9.008716	8.679088	8.997454	7.7844	8.179972	8.010429	8.813808	8.006418	8.00922	8.303555	8.473963	7.8215423	8.457954	8.176317	7.753791	8.823448	8.868135	9.095325	7.905462	9.121779	7.714593
ACAT2_7961	5.0707717	5.7932334	5.556582	4.7454166	5.1295066	5.7542663	5.658951	5.5197535	4.724272	4.5869493	4.7571473	4.6915283	4.9972773	5.7998466	5.715755	4.6529417	5.7492337	5.485788	5.295854	5.5317	5.314357	4.853257	4.671418	4.9186616	6.0084662	5.852871	5.5294337	5.901468	5.254723	5.130847	5.477165	5.4339433	6.102368	5.459533	6.6212068	5.3946276	5.9955626	5.5465713	5.59162	6.6091657	5.728801	5.0815253	5.758283	5.68015	5.984689	5.6355433	6.098557	6.1117616	4.8485174	5.2413626	5.7438183
ACBD3_7962	5.200246	4.7102776	6.0166097	4.071265	4.475953	5.0763216	4.356538	4.6236506	4.57832	4.268106	4.953644	3.589758	4.5593443	3.9571867	4.658849	3.953709	4.272728	4.916834	4.9200873	4.4929523	4.9284716	4.0251546	4.53063	4.7223372	5.10721	4.3169885	4.864715	4.693002	4.3479686	4.5378475	5.5219564	4.399805	5.829698	3.9844668	3.8336446	4.297702	5.294973	4.331092	3.8765209	3.8355803	4.5875387	4.550976	4.737588	3.7790017	4.523364	5.115578	5.1630416	5.4909215	4.8485174	5.566895	3.7371767
ACD_7963	4.953226	3.9670131	5.3447328	5.073581	5.0785646	4.4872804	4.1739187	4.912196	4.7698154	5.135555	5.1265574	4.883615	5.302521	5.533132	5.003809	5.3827844	5.3689346	4.837178	4.8085756	4.444613	4.6267533	4.3876576	5.159828	4.9549127	4.949913	5.3656135	5.8181033	4.889178	4.5522885	4.812059	5.0577526	5.3415675	5.189684	5.102846	4.97692	5.4935837	4.968962	4.830038	5.1099653	5.4763083	4.833032	5.33171	5.221244	4.6543403	5.443846	4.8901815	5.012332	4.990032	5.4728565	4.8574276	4.9779024
Ace_34123	8.976731	8.756681	10.657691	8.573541	9.3146515	9.118339	9.38102	8.747434	9.213324	9.874985	9.029662	9.221968	8.594293	8.745747	8.552791	9.0861845	8.863674	9.525259	8.946707	8.80149	9.439214	8.388869	9.99068	9.614175	9.319761	9.084591	8.947785	9.385049	8.703712	9.259717	10.441077	9.053151	9.796151	9.849563	9.5238085	9.405646	9.766304	9.654664	9.243149	8.553418	9.370275	9.277375	9.538958	9.639783	9.412434	8.694677	9.742797	10.23578	9.468561	10.394398	9.048404
ACLY_7965	9.187913	8.96542	9.990257	9.137801	9.722916	9.218319	9.531048	9.704403	9.627753	9.34583	8.796068	9.120699	9.418235	9.556991	9.285884	9.377207	9.492349	10.127991	9.4021435	9.455661	9.738757	9.66577	9.321717	9.942239	9.978164	9.121837	9.771586	9.658256	9.550767	9.033625	10.275193	8.927701	10.287654	9.722382	9.803953	9.433955	10.244405	9.589193	9.613316	9.58375	9.548396	9.483641	9.173504	9.548327	9.548615	9.731134	10.1435795	9.950722	9.217214	10.004239	9.373322
