Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Uterus_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:29.41
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: uterus
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
CLTC_8337	54241	cltc	8.110300081103001E-4	0.2696708741299988	-1.053291	1.053291	1.0245945	-1.0042466	-1.0164788	-1.002326	-1.0106543	-1.0012097	-1.0206267	-1.0202832	-1.053291	0.005616812	0.80614316	0.19949068	0.9043669	0.48687026	0.9254966	0.18427943	0.18675302	0.0016039645			
CMBL_32468	310201	cmbl	0.030408163265306123	0.8693920173267327	-1.9798642	1.9798642	1.2020178	-1.0607919	-1.2992195	-1.3963493	1.0506912	-1.030118	-1.1432384	-1.0962652	-1.9798642	0.2705757	0.7805843	0.262777	0.21235159	0.7974718	0.8669155	0.5898168	0.72769016	0.090080366			
COL14A1_8350	314981	col14a1	0.008830022075055188	0.8410596026490066	-1.1419173	1.1419173	1.0112125	1.0326135	-1.0572058	-1.0022715	1.0452967	-1.0685468	-1.0320086	-1.0118	-1.1419173	0.8470304	0.42697248	0.16232014	0.94282794	0.29932922	0.07357024	0.49196854	0.8481443	0.0018610461			
COLQ_8358	29755	colq	0.022677102147300822	0.8693920173267327	3.815452	3.815452	3.0033672	1.7660542	1.788931	2.457424	1.542568	2.8026314	2.1595037	2.7797258	3.815452	0.01620067	0.36083904	0.4957226	0.08892277	0.52466846	0.055779245	0.25017765	0.19855988	0.009515482	0.0	0.01	
CREG1_8380	289185	creg1	0.006656958602038693	0.7562441418095606	1.0969058	1.0969058	-1.0868974	-1.0728935	1.063102	1.0645313	-1.0250736	1.0053391	1.030752	1.0300717	1.0969058	0.02360129	0.10540901	0.30487052	0.026299696	0.5195943	0.8489456	0.224289	0.4301461	0.12837851			
CYP11A1_32785	29680	cyp11a1	0.0078125	0.806093303713107	-1.8040279	1.8040279	-1.3941765	-1.3307729	-1.5031594	-1.5672461	-1.4575946	-1.8040279	-1.3575951	-1.1801364	-1.2424152	0.0015400308	0.030241128	0.0044442695	3.4733256E-4	0.021790465	2.1447495E-5	0.016444689	0.24908295	0.3802376			
CYP11B3_34118	353498;500892	cyp11b3;cyp11b1	0.03034005294237426	0.8693920173267327	-2.5413814	2.5413814	-1.7481501	-1.2141604	-1.2935721	-2.5413814	-1.9529464	-1.5455121	-1.818903	-2.292547	-1.2484105	0.058378432	0.31408492	0.18551904	0.001310876	0.0132586835	0.00525438	0.033124164	7.6661917E-4	0.6227865	0.3	1.0	
CYP2B1_32451	24300	cyp2b1	0.018090452261306532	0.8495048367014654	-4.0071635	4.0071635	2.0460114	1.0432146	-1.320752	-4.0071635	-1.2033165	-2.4117944	-1.7134662	1.0475203	-1.1652483	2.3659365E-4	0.9027089	0.27607065	0.0087800305	0.60680133	0.037095025	0.20595026	0.86757064	0.5935712	0.0	0.01	
CYP2C11_32593	29277	cyp2c11	0.0040104271104872665	0.7052181826595301	3.2212448	3.2212448	1.143997	1.815138	-1.9545838	-1.1478536	-1.2119462	1.3129431	1.5869159	2.5951548	3.2212448	0.72958887	0.31243724	0.36305967	0.8481426	0.7043303	0.6058013	0.24980335	0.039829176	0.003595014	30.0	100.0	
CYP2C13_8419	171521	cyp2c13	0.01729818780889621	0.8495048367014654	-Infinity	Infinity	-1.1394156	1.0428329	1.0377222	1.9303387	-Infinity	-1.0082532	1.0290914	1.4682344	3.3640742	0.87817615	0.9510515	0.9628448	0.26451194	0.06619969	0.9878181	0.9748117	0.59797317	0.074677065			
DDX60_8457	120097562	ddx60l1	0.03438843298163345	0.8693920173267327	1.4541492	1.4541492	-1.1395417	-1.1659191	-1.0086951	1.2379932	-1.2035924	1.2506601	1.1685028	1.1126102	1.4541492	0.38822073	0.3415565	0.94787425	0.13442747	0.67340755	0.16273187	0.3884174	0.4767453	0.055181243			
DERA_8462	690945	dera	0.03418467583497053	0.8693920173267327	1.0631312	1.0631312	1.0271933	1.0320387	1.0101506	1.0146399	1.0360317	1.0451092	1.0368955	1.0469983	1.0631312	0.50743145	0.15526818	0.6126985	0.6575362	0.09713102	0.007506243	0.09843217	0.01821855	0.009755775			
E2F7_32903	314818	e2f7	0.03256743256743257	0.8693920173267327	2.8397076	2.8397076	2.1853743	1.6908561	1.6156027	2.0371354	1.3153265	2.3136823	1.7947986	1.67645	2.8397076	0.10339343	0.4864185	0.4037774	0.020414913	0.46263826	0.02769463	0.21854424	0.24960792	0.10154666	0.3	1.0	
EIF1A_8536	317163	eif1a	0.016931216931216932	0.8495048367014654	-1.1832203	1.1832203	-1.0076591	1.0007107	-1.0482239	-1.0138409	-1.0302144	1.0104884	1.000496	-1.0117173	-1.1832203	0.8262776	0.97992325	0.16472565	0.76674104	0.33269787	0.6641162	0.98545796	0.6829133	0.2559205			
ELAC2_8553	282826	elac2	0.02656507413509061	0.8693920173267327	-1.8170866	1.8170866	1.0173303	-1.0376235	-1.8098633	-1.2085317	1.0245113	-1.0972124	-1.2438427	-1.1082464	-1.8170866	0.8577708	0.8391139	0.017825384	0.13729453	0.8701706	0.62117285	0.1144145	0.63181007	0.029392218			
