Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Thyroid-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.54
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: thyroid
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
C1QA_8167	298566	c1qa	0.049958881578947366	0.4471003705862758	-1.3721793	1.3721793	-1.0300224	-1.3721793	-1.009497	-1.1705991	-1.0244492	-1.0083092	1.0368536	-1.0355052	-1.2826841	0.7825716	0.025214974	0.8901113	0.22063756	0.8238474	0.89335626	0.61360204	0.6834398	0.10576051			
C1QBP_8169	29681	c1qbp	0.04326826323203864	0.4335650040883074	-1.0872252	1.0872252	-1.0375193	-1.0276186	-1.0346905	-1.0397867	-1.0251104	-1.0317712	-1.0847201	-1.0322049	-1.0872252	0.3984229	0.13007686	0.07811832	0.48920146	0.15274009	0.102078326	0.19175473	0.3072999	0.023975749			
C1S_8172	192262	c1s	0.015195670274771023	0.33275406393685963	-1.1145169	1.1145169	1.0118089	-1.0513895	-1.0184088	-1.0650195	-1.0120685	-1.0020782	1.0338694	-1.0265006	-1.1145169	0.6494337	0.10779933	0.6018629	0.40871674	0.7249204	0.9551152	0.3609657	0.3138909	0.011235843			
C3_8175	24232	c3	0.045754245754245755	0.43482732922315087	-1.4476757	1.4476757	-1.2228013	-1.3796062	-1.1775519	-1.4476757	-1.066026	-1.1597165	-1.277903	-1.2083524	-1.3781875	0.1937276	0.097472124	0.3310495	0.07225423	0.7438676	0.33720157	0.26005104	0.2783898	0.0736065			
C7_8179	117517	c7	0.031133250311332503	0.39541092161877983	-1.0800201	1.0800201	-1.0019275	-1.0148919	-1.0190148	-1.0428394	-1.0141147	1.0009742	-1.0437776	-1.0047289	-1.0800201	0.88838863	0.36729693	0.4457496	0.39984715	0.4304521	0.96357816	0.37183118	0.70237064	0.03019827			
CALCOCO1_32442	246047	calcoco1	0.0351666325904723	0.4001800500258755	-1.1548905	1.1548905	-1.0443376	-1.1108291	-1.1099873	-1.1212962	-1.1548905	-1.0591143	-1.0567709	-1.072688	-1.1210942	0.25194854	0.017262151	0.09101457	7.56291E-4	0.0037942647	0.09964265	0.6130722	0.047368478	0.027696194			
CALR_8190	64202	calr	0.026713124274099883	0.38279751491263203	-1.0809675	1.0809675	-1.0101315	-1.000271	-1.0409049	-1.0809675	-1.0305015	-1.0183557	-1.0507606	1.0122006	1.0326657	0.64066994	0.9846083	0.29258823	0.078277305	0.011336812	0.15560076	0.14507125	0.23430435	0.20532544			
CAMSAP2_8192	289400	camsap2	0.016557645134914145	0.33768043587647023	-1.0746757	1.0746757	-1.0143825	-1.0423672	-1.0084801	-1.0527512	-1.0375028	-1.0054609	-1.0565956	-1.0481113	-1.0746757	0.40049517	0.23975769	0.7231576	0.012782008	0.08693781	0.8321926	0.22251238	0.05415369	0.040097326			
CAST_8205	25403	cast	0.0367934224049332	0.40645233812949644	-1.047016	1.047016	-1.0335585	-1.020884	-1.0241823	-1.0389545	-1.0276419	-1.005905	1.0293165	1.0007894	-1.047016	0.08912052	0.1008779	0.06997441	0.19516952	0.15966061	0.748883	0.16655526	0.94215256	0.11041961			
CAT_8206	24248	cat	0.0030525030525030525	0.2823866340335849	-1.0740724	1.0740724	-1.0219985	-1.0350001	-1.0578115	-1.0571135	-1.0650958	-1.0254126	-1.0679018	-1.0442532	-1.0740724	0.3616075	0.03119824	0.03409393	0.033686258	0.02834855	0.16283639	5.9424684E-4	0.011984394	0.06686346			
