Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Ovary_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:30.46
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 17 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: ovary
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
CD37_33149	29185	cd37	0.007578779417630634	0.3258903774800595	-1.2298768	1.2298768	-1.0097051	-1.0339937	-1.0038121	-1.0556846	-1.043071	-1.0287175	-1.07094	1.0055227	-1.2298768	0.87470096	0.44981554	0.92648536	0.17155424	0.4192894	0.59293324	0.33418566	0.9227077	0.015996216			
CD48_8249	245962	cd48	0.0031923383878691143	0.23017292784734644	-1.0448219	1.0448219	1.0039847	-1.0145233	1.004149	-1.0093341	-1.0061804	-1.0160058	-1.0088824	-1.0157818	-1.0448219	0.7387952	0.11517369	0.7784671	0.30762002	0.6237973	0.09944196	0.55477035	0.25443158	0.05429978			
CD53_8250	24251	cd53	0.0033736852550109147	0.23017292784734644	-1.1848197	1.1848197	-1.0260185	-1.0917557	1.0358478	-1.0901772	-1.0082674	-1.0163362	-1.0423304	1.0164453	-1.1848197	0.47303033	0.10087276	0.4161278	0.04601625	0.81085944	0.46507365	0.22865131	0.7358058	0.042517263			
CDC6_32573	360621	cdc6	0.03877510439451183	0.5470555920942141	-1.5999602	1.5999602	-1.3011812	-1.3214147	-1.1769772	-1.1296974	-1.0592653	-1.5999602	-1.1258014	-1.1164552	1.0459967	0.027883833	0.04024482	0.01592197	0.16390118	0.37483227	0.0043913634	0.14630881	0.26195323	0.44371405			
CDCA4_8261	500727	cdca4	0.005893111156269051	0.29670533560693746	-1.3442352	1.3442352	-1.3337537	1.0044115	1.0219618	1.019652	-1.0243584	-1.0590317	-1.0185757	-1.0437112	-1.3442352	0.014607879	0.9548127	0.442783	0.77931035	0.7252474	0.22163555	0.7495268	0.22026952	0.08609432			
CEBPB_8282	24253	cebpb	0.008028904054596548	0.3380898507353746	1.0547975	1.0547975	-1.0275704	-1.0125773	1.0214071	1.037578	-1.0031095	1.029607	1.0348976	1.0448484	1.0547975	0.117608555	0.6467624	0.1434993	0.17719492	0.83860874	0.16076101	0.044074204	0.005615461	0.0918148			
CEBPZ_8284	362686	cebpz	0.013613380007779074	0.4148498433949518	-1.0853348	1.0853348	1.0225135	-1.0103753	-1.0129309	-1.0006318	-1.0127352	-1.0191613	-1.0104147	-1.0343347	-1.0853348	0.5848553	0.75851274	0.6151659	0.9895318	0.7285341	0.38579908	0.64094126	0.22194603	0.0051862663			
CISD1_8322	294362	cisd1	0.03304484657749803	0.5171071937397665	1.0273767	1.0273767	1.0164287	1.0101575	1.0114479	1.0173624	1.0054758	1.0131698	-1.0045002	1.0149616	1.0273767	0.01323476	0.43159264	0.36661434	0.03545135	0.5178337	0.24751131	0.6699286	0.10952318	0.08173644			
CLEC4A3_8330	362431	clec4a3	0.029250457038391225	0.5171071937397665	-1.1560242	1.1560242	-1.0400712	-1.1237584	1.0760642	-1.1030335	-1.0064436	-1.0546669	-1.006607	1.0823641	-1.1560242	0.62513715	0.016499255	0.03745637	0.019928489	0.9073432	0.20729311	0.87104166	0.05705338	0.104042746			
CLIC4_8332	83718	clic4	0.0423861852433281	0.5470555920942141	-1.042698	1.042698	-1.0153112	1.018346	-1.0149528	1.0236424	-1.042698	-1.0037748	-1.0217477	1.0236038	1.0301224	0.2971527	0.28020838	0.20102027	0.07780497	0.06782291	0.8099027	0.11456085	0.0394099	0.23120713			
CLTC_8337	54241	cltc	0.005240878855069542	0.26973056507424575	-1.0340865	1.0340865	-1.0037484	1.0077319	-1.0051019	1.0024571	1.0006969	-1.0131805	1.0026498	1.0072149	-1.0340865	0.6612664	0.39269406	0.6133067	0.85001683	0.92970526	0.11376902	0.8334895	0.37907994	8.4409857E-4			
CPT1B_8373	25756	cpt1b	0.038422852544759606	0.5470555920942141	1.336297	1.336297	1.0389221	1.2311319	-1.0078098	1.1407244	-1.0794446	1.0635853	-1.0097431	1.2421143	1.336297	0.7772778	0.06395492	0.9483918	0.23712164	0.6178192	0.7017087	0.9366607	0.034269113	0.15003338			
CREB1_8377	81646	creb1	0.028182515337423313	0.5171071937397665	-1.0513556	1.0513556	-1.024776	1.0246042	-1.0353578	1.0034751	-1.0112491	-1.0246598	-1.0193055	-1.0015734	-1.0513556	0.35160235	0.40873885	0.10874958	0.8756422	0.58778	0.31938824	0.38290745	0.9368062	0.03396025			
CRK_8382	54245	crk	0.001797842588893328	0.21914754925668145	-1.13799	1.13799	-1.0081615	1.0145354	1.0004373	1.0419677	1.0187274	1.0009328	-1.0317643	1.0020372	-1.13799	0.85454226	0.7367614	0.9881547	0.30483285	0.61030096	0.973617	0.3026085	0.9552451	0.0036174515			
CSRP3_32915	117505	csrp3	0.03977047882865058	0.5470555920942141	1.655486	1.655486	-1.3749144	-1.4317307	-1.5937322	-1.3732924	1.1335179	1.2627548	1.655486	1.4703404	1.0944935	0.198524	0.3125891	0.024709847	0.34459937	0.6696528	0.2870449	0.0028424931	0.09705256	0.83703846			
CTNNB1_8400	84353	ctnnb1	0.04588639579543157	0.5564025793833483	-1.0518168	1.0518168	1.0056475	1.0406541	-1.0205754	1.0224326	1.0001688	1.0093483	-1.0009805	1.0052465	-1.0518168	0.8235746	0.105693385	0.50688446	0.47317645	0.9943149	0.69463015	0.9615275	0.84563786	0.25858817			
CXCL10_8408	245920	cxcl10	0.02034649476228848	0.46492558920609184	-1.4047343	1.4047343	-1.0441798	-1.0555803	1.1020588	-1.1582981	-1.0809387	-1.0962791	-1.006254	1.0181621	-1.4047343	0.61368734	0.6603428	0.26260638	0.15768966	0.44814008	0.42868146	0.96343213	0.8396255	0.10455825			
CYP2B3_32867	286953	cyp2b3	0.030879782482035347	0.5171071937397665	-4.6972513	4.6972513	-2.345212	-1.9602562	-1.4097717	-2.9441168	-4.538784	-4.6972513	-2.170895	-2.6383162	-1.2208648	0.03758929	0.0029567026	0.51403743	6.228322E-4	5.099699E-4	8.938364E-5	0.049870983	0.123257264	0.51708007	0.0	0.01	
CYP2C11_32593	29277	cyp2c11	1.9584802193497845E-4	0.09280705269485073	-5.5935135	5.5935135	-2.8522973	-1.8527955	-5.256337	-4.733759	-4.2629595	-5.5935135	-3.212264	-3.350433	-1.4985021	0.0024193425	0.006239445	2.2598635E-4	4.1456235E-4	0.0017700845	7.972523E-5	0.0019435064	0.014968209	0.04960521	0.0	0.01	
CYP3A2_32374	266682	cyp3a2	1.9712201852946975E-4	0.09280705269485073	-2.0980694	2.0980694	-1.57384	-1.5145755	-1.6375065	-2.0980694	-1.6081717	-1.7082406	-1.5802628	-1.5790277	-1.2826141	5.836057E-4	1.6037017E-6	3.3587028E-5	0.0013917555	2.0588523E-6	3.9739454E-5	2.8199496E-4	0.0034107084	0.007404168	0.3	1.0	
CYTB_32443			0.0171854114951308	0.44023131935219845	-1.0832677	1.0832677	1.015706	-1.0334051	-1.0373765	-1.0230285	1.0020555	-1.0520438	-1.0270016	-1.0604601	-1.0832677	0.74902034	0.29308143	0.12404066	0.4608131	0.9519206	0.025877435	0.35813236	0.015855903	0.13115959			
DDX18_8453	308490	ddx18	0.03010625737898465	0.5171071937397665	-1.088362	1.088362	-1.0065687	-1.0035397	-1.0639021	1.0276705	1.0118585	-1.0193998	-1.0245541	-1.0198461	-1.088362	0.8542015	0.9166448	0.08967311	0.5042483	0.6978569	0.2921846	0.23471496	0.3949597	0.005006382			
DYNLT3_8507	363448	dynlt3	0.01593308105954989	0.42709879828566627	-1.0456686	1.0456686	1.0146286	1.0010599	1.0097442	1.0093912	1.0050173	-1.0052496	-1.0075214	-1.0167595	-1.0456686	0.41057852	0.9456524	0.46888205	0.49517214	0.8359939	0.7567003	0.5672565	0.14708339	0.048737675			
EBNA1BP2_8513	114021	ebna1bp2	0.042561654733492445	0.5470555920942141	-1.0636771	1.0636771	-1.009861	-1.0129282	-1.0114603	-1.0270828	1.0089346	-1.0126033	-1.0109787	-1.0636771	-1.0271275	0.5467672	0.5310193	0.48595867	0.03832822	0.55425555	0.639861	0.3521264	0.007030258	0.31377837			
ECH1_8516	64526	ech1	0.038180019782393666	0.5470555920942141	-1.0351351	1.0351351	1.0126429	-1.0070322	-1.0126432	-1.0127004	1.0131725	-1.0171599	-1.0197656	-1.0351351	-1.0109409	0.26774153	0.63427836	0.1527943	0.16218255	0.06986435	0.27016577	0.01580675	0.03360352	0.18161194			
ECI1_8520	29740	eci1	0.030362389813907934	0.5171071937397665	-1.0643172	1.0643172	1.007932	-1.0051055	-1.0286076	1.0318463	1.0196842	-1.0065646	-1.0347754	-1.0282316	-1.0643172	0.80165213	0.8694307	0.23226257	0.3034046	0.5328596	0.8188199	0.12564404	0.24469742	0.013119034			
ECI3_8522	291076	eci3	0.011385944248135061	0.3898582523595584	-1.0527662	1.0527662	1.0000554	1.0205861	-1.0030379	1.0152143	1.0379999	1.0089896	-1.0015134	-1.0089872	-1.0527662	0.998318	0.30958757	0.8794374	0.6265431	0.13063411	0.6665066	0.94549155	0.6362716	0.03200649			
ECSCR_32931	689248	ecscr	0.010722233461460652	0.38801082338660736	-1.4579844	1.4579844	-1.0576329	-1.0447087	-1.0576763	-1.058852	1.0025197	-1.064417	-1.0355297	1.0204244	-1.4579844	0.5601559	0.7063608	0.40279147	0.4840986	0.9828721	0.47549295	0.6399179	0.7608162	0.09892811			
EIF1A_8536	317163	eif1a	0.03379978471474704	0.5226516220028209	-1.0973771	1.0973771	1.034492	1.065802	1.0133251	1.0377502	1.021365	1.0621362	1.0599868	1.0465708	-1.0973771	0.41653532	0.10512738	0.7498353	0.44344735	0.5958318	0.119115844	0.13892907	0.25531748	0.4311555			
EIF4B_8549	300253	eif4b	0.015170151701517014	0.42709879828566627	-1.0385354	1.0385354	-1.0020432	1.0224776	-1.0076239	1.000424	-1.0060954	1.0082242	-1.0068127	-1.0027875	-1.0385354	0.8510332	0.044936527	0.4396433	0.97750443	0.6341732	0.62570536	0.61006016	0.82306504	0.1324953			
ETV1_8578	362733	etv1	0.03632694248234107	0.5393153768532175	-1.1006776	1.1006776	-1.017012	-1.0090648	1.008369	-1.0319697	1.0402644	1.0066189	-1.008971	-1.1006776	-1.0778421	0.4875624	0.81613415	0.7937142	0.4629778	0.17678146	0.782936	0.7509349	0.007156344	0.04183316			
EVI2A_32378	685433	evi2a	0.030787927891432042	0.5171071937397665	-1.1715143	1.1715143	-1.0044829	-1.0752478	1.0296439	-1.1081728	-1.042462	-1.0993065	-1.0505879	1.0235517	-1.1715143	0.91635066	0.01957845	0.02464819	0.036366414	0.66160905	8.7272533E-4	0.2396424	0.31877592	0.06624461			
EXOSC7_8580	316098	exosc7	0.02413793103448276	0.5036346691519105	-1.432554	1.432554	-1.008495	1.1126955	-1.0217946	1.0182483	1.109581	-1.1826391	1.0202407	1.0499487	-1.432554	0.89593303	0.20139393	0.8802034	0.86304647	0.53223085	0.20543452	0.78072596	0.5059802	0.009183138			
FABP1_33091	24360	fabp1	0.0033151326053042123	0.23017292784734644	-2.873407	2.873407	-1.4542646	-1.7460393	-1.7477628	-2.873407	-2.8584461	-2.7243588	-1.6474736	-1.9427185	-1.7662485	5.4149615E-4	1.3316984E-4	0.18988582	4.1832498E-4	0.0029681907	2.5389076E-4	0.0022428855	0.08458449	0.1618397	0.3	1.0	
FAM20B_8600	304885	fam20b	0.04201171480508988	0.5470555920942141	1.0405902	1.0405902	1.017758	1.0385273	1.0275763	1.0405902	1.0117469	1.016953	1.0218412	1.0306418	-1.0346537	0.44200853	0.047910217	0.16787092	0.019476797	0.6347475	0.46709627	0.3226735	0.19039895	0.21004187			
FASTKD5_8612	366192	fastkd5	0.027432919503404086	0.5171071937397665	-1.1993433	1.1993433	-1.0494632	1.034756	-1.1377337	-1.0143511	1.0359597	-1.0908097	-1.0422356	-1.0637993	-1.1993433	0.48352847	0.600613	0.09595624	0.8560742	0.4466788	0.04622771	0.39787638	0.27688336	0.010819612			
FBXO11_8619	301674	fbxo11	0.025359424920127795	0.5171071937397665	1.0369092	1.0369092	1.0196674	1.0369092	1.0177912	1.0181414	1.0146545	1.020286	1.0137788	1.0082815	-1.0283052	0.3017912	0.009094821	0.20477583	0.33791235	0.4418309	0.115790285	0.29147026	0.64570093	0.029258994			
FBXO22_32888	300724	fbxo22	0.03623611922852133	0.5393153768532175	-1.0519252	1.0519252	-1.0021671	-1.0249366	-1.0008336	1.0114201	1.0041921	-1.0348648	-1.0490857	-1.0259616	-1.0519252	0.93653333	0.17297074	0.95653224	0.5468935	0.872062	0.039406348	0.013785501	0.14966212	0.08629305			
FBXO7_8621	366854	fbxo7	0.020966453674121407	0.46492558920609184	-1.0959878	1.0959878	1.0279299	1.0365006	1.0048422	1.0013186	1.0356015	1.0146703	-1.006196	1.0240973	-1.0959878	0.43175006	0.39362317	0.8521643	0.9798891	0.18075757	0.57885647	0.81517	0.5670754	0.017787434			
FGA_8632	361969	fga	0.0015634160641000586	0.20777822634907817	-2.0004861	2.0004861	-1.3062439	-1.5612559	-1.2712059	-1.7993294	-2.0004861	-1.6421576	-1.424896	-1.4284018	-1.3941381	0.0012247383	5.1133047E-6	0.3040255	2.1508963E-6	7.633728E-8	0.0016069802	0.0078499615	0.07432143	0.18993926	1.0	3.0	
FGL1_8640	246186	fgl1	0.010935364186682289	0.38963543779009513	-2.0654562	2.0654562	-1.2503341	-1.3615254	-1.0423663	-1.495195	-1.6169072	-1.7116095	-2.0654562	-1.5462183	-1.423119	0.042106535	0.0121257175	0.84238225	0.0075670527	0.012868679	0.0028808117	0.0014834533	0.10255679	0.22660024	10.0	30.0	
FIS1_8645	288584	fis1	0.003923107100823852	0.23255124533209653	-1.076392	1.076392	-1.0155654	-1.0035744	-1.0254405	1.0102693	1.0090287	-1.0158536	-1.0218469	1.0052818	-1.076392	0.5523142	0.87899745	0.1686619	0.74158764	0.6119873	0.40127164	0.22525609	0.8011612	0.03094067			
GAS5_8688	81714	gas5	0.006270226537216829	0.302538430420712	-1.0396049	1.0396049	-1.0033778	-1.001034	-1.0003325	-1.0179299	1.0078964	1.006755	-1.0037421	-1.0174263	-1.0396049	0.63976914	0.94895476	0.9644218	0.11992026	0.36348978	0.3139563	0.7594566	0.022455255	0.036327876			
GBP4_8692	310917	gbp4	0.02107823267126064	0.46492558920609184	-1.3668083	1.3668083	-1.0870247	1.0442523	1.0493338	1.0167886	-1.076987	-1.1498953	-1.311213	1.0052725	-1.3668083	0.33680412	0.59816533	0.5718488	0.8204311	0.3704431	0.2201491	0.08898315	0.95122874	0.0044822753			
GCLM_8700	29739	gclm	0.009491793553490212	0.36864305610823717	-1.1831157	1.1831157	-1.0244834	-1.0217315	-1.094877	-1.0561318	-1.0897075	-1.0400043	-1.0831494	-1.05698	-1.1831157	0.7193367	0.6424531	0.025057165	0.3721121	0.041689973	0.39172137	0.08115794	0.40424886	0.044805143			
