Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Brain-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.05
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: brain
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
CYP3A2_32374	266682	cyp3a2	9.92063492063492E-4	0.20416666666666666	-4.688714	4.688714	-4.688714	-1.854079	-3.481306	-2.4629066	-1.9292569	-3.3314736	-4.2348332	-2.14106	-1.0968604	0.0034566773	0.030731652	0.0011401476	0.02506035	4.235166E-5	0.002791898	5.9992966E-4	0.021305883	0.12513842	0.0	0.01	
CYP4A2_32530	24306;298423	cyp4a2;cyp4a3	0.023804878048780488	0.8718624072264416	-2.0773811	2.0773811	-1.3435117	-1.0289826	-1.1685615	-1.0091052	-1.5213792	-1.3445566	-1.6872494	-2.0773811	1.5043803	0.27331847	0.92472714	0.5818388	0.9628621	0.30675396	0.286227	0.10340412	0.020543616	0.0015068395	30.0	100.0	
DDIT4_8450	140942	ddit4	0.01096104912898806	0.7358409610983981	1.0996606	1.0996606	-1.0539216	1.0222715	1.0078847	1.0044463	1.032381	1.0543342	1.0017282	1.0734302	1.0996606	0.14552331	0.5583922	0.7924548	0.92313623	0.44504973	0.14218238	0.9558662	0.104742296	0.08212639			
DNAJA3_8477	360481	dnaja3	0.03194250349371132	0.8718624072264416	1.0338529	1.0338529	1.0113097	1.0150349	1.0311916	1.0204818	1.0334271	1.0249821	1.0053399	1.0190184	1.0338529	0.39381942	0.26969662	0.03477059	0.14844808	0.034153704	0.07411994	0.73055553	0.29086047	0.111829415			
DNAJB1_8478	361384	dnajb1	0.02857142857142857	0.8718624072264416	1.0652175	1.0652175	1.0448	1.0419569	1.0445478	1.041079	1.0096897	1.0063936	1.029592	1.0445284	1.0652175	0.08773006	0.08909009	0.099108696	0.09499986	0.80196524	0.7413945	0.31400636	0.02967028	0.0029179598			
DNAJB6_8481	362293	dnajb6	0.03832616347281971	0.8718624072264416	1.1242179	1.1242179	1.053624	1.0875151	1.090644	1.1030623	1.0840296	1.1242179	1.0593324	1.0400065	1.0752025	0.19598733	0.053768676	0.039000247	0.02892358	0.019881314	0.003142046	0.06266934	0.27141628	0.043776274			
DNM1L_8487	114114	dnm1l	0.023367285799880167	0.8718624072264416	1.0678754	1.0678754	1.0357	1.0309592	1.014422	1.0574123	-1.0062591	-1.0086263	1.0423154	1.0061367	1.0678754	0.18598731	0.23585242	0.6294252	0.06124353	0.8225624	0.7730688	0.06655746	0.8317064	0.008120467			
DUSP4_8505	60587	dusp4	0.027980295566502462	0.8718624072264416	-1.2180063	1.2180063	-1.2180063	1.0406349	-1.0267534	1.1861683	1.098059	1.0565137	1.0429363	1.0802841	1.1757655	0.090944	0.58666736	0.7999905	0.019867508	0.16458578	0.41524622	0.7738629	0.30986097	0.304911			
ECD_8515	688968	ecd	0.015057915057915058	0.7945945945945946	1.0872595	1.0872595	1.0100658	1.0453709	1.0573858	1.0537921	1.0729884	1.0528537	1.0260682	1.0872595	1.0292113	0.6186035	0.11184347	0.03371948	0.037004367	0.0073746387	0.09582333	0.3498674	0.0018312887	0.26576388			
ESCO2_32645	691979	esco2	0.0353377586880125	0.8718624072264416	-1.4937853	1.4937853	-1.2712295	-1.3772701	-1.1650418	-1.0138007	-1.0639693	-1.4937853	-1.3025423	-1.0057797	1.4598197	0.44218478	0.34131658	0.6149651	0.95564544	0.7745927	0.260137	0.3415481	0.9789122	0.07651219			
