Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Kidney-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:31.34
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: kidney
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ATP6V1F_8114	116664	atp6v1f	0.012168362258128866	0.1920929248077137	1.02342	1.02342	1.013172	-1.0018581	-1.0048902	-1.0043612	-1.0037861	-1.0016706	-1.0022364	-1.0121362	1.02342	0.13491848	0.8026635	0.6133236	0.536125	0.6537686	0.86500794	0.72980535	0.1710741	0.16078313			
AXIN1_8118	79257	axin1	0.03474747474747475	0.28069444444444447	-1.1596569	1.1596569	-1.0810606	1.0710744	1.0156038	1.0355996	1.0323187	-1.0489246	1.018908	-1.0050145	-1.1596569	0.13066114	0.10928898	0.74715674	0.41733277	0.54618895	0.36356133	0.8044991	0.93929	0.17283821			
B3GNT1_8122	293667	b4gat1	0.04683794466403162	0.3261308739569609	-1.4575859	1.4575859	-1.1867628	-1.0574491	1.0666685	-1.0309399	-1.0443547	-1.1519191	-1.1665692	-1.1537256	-1.4575859	0.2093431	0.5995871	0.68518645	0.7998471	0.5669868	0.27408448	0.13893844	0.013904296	0.28531137			
BCL2A1_8136	170929	bcl2a1	0.004851425106124924	0.13005634936606963	-1.1794349	1.1794349	-1.0569116	-1.0160286	-1.084124	-1.0866793	1.0033518	1.0233878	1.0063567	1.0264832	-1.1794349	0.38723505	0.6869003	0.09799566	0.10506141	0.9363896	0.6560285	0.86526203	0.5396123	0.059458166			
BIRC2_8146	60371	birc2	0.03631861328931077	0.2898603430471173	-1.0472854	1.0472854	1.0038602	1.004719	1.0331986	1.0048736	1.0001724	1.0020815	-1.0103418	-1.02135	-1.0472854	0.79144096	0.7006713	0.037974592	0.7046725	0.9926383	0.88759595	0.47320873	0.5092892	0.21974833			
C3_8175	24232	c3	0.023066485753052916	0.2377618804292284	-1.1900823	1.1900823	1.0065824	-1.0250579	-1.0224932	-1.010748	1.07635	-1.0451447	-1.0028464	1.0265445	-1.1900823	0.91500163	0.62489647	0.7359988	0.76370347	0.37727857	0.19743675	0.9480349	0.5933819	0.063041024			
C9_8183	117512	c9	0.0392604902368093	0.2995966561244341	2.1716168	2.1716168	1.6963243	-1.1494312	1.1890664	1.1042532	1.8393123	-1.1273173	1.5059654	1.0027995	2.1716168	0.05565742	0.77437925	0.5453398	0.70463455	0.22466947	0.6725824	0.21666704	0.99377626	0.042706605	100.0	300.0	
CASQ1_32992	686019	casq1	0.005265289590927501	0.13442739350664284	-1.194376	1.194376	-1.0453408	-1.0160431	-1.0200737	-1.0444372	-1.0298345	1.0207652	-1.0200369	-1.0370679	-1.194376	0.43706268	0.5915829	0.5448416	0.32798806	0.46132138	0.66824174	0.7481033	0.30281067	0.062222503			
CCDC86_8215	293738	ccdc86	0.017786561264822136	0.22566017604694585	-1.0715742	1.0715742	1.0383711	1.0289745	1.0195215	1.0215844	1.0140486	1.0545381	1.0426444	1.0089113	-1.0715742	0.31600922	0.31660515	0.62066144	0.41620576	0.6040715	0.047460962	0.21723577	0.6928899	0.09069014			
CCND1_8224	58919	ccnd1	0.04983191615582361	0.3389881664810632	-1.0862623	1.0862623	1.0224253	1.049174	1.00316	-1.0153276	1.0125138	1.0131136	-1.0257151	-1.0538763	-1.0862623	0.56312144	0.34816146	0.93181276	0.52095306	0.6522948	0.79442513	0.41349143	0.13727087	0.20474999			
CCNG1_32302	25405	ccng1	0.0044943820224719105	0.1281844666212112	-1.2401701	1.2401701	1.0584915	1.0872706	1.0630885	-1.0492281	-1.0331738	1.024122	1.1047994	1.0669936	-1.2401701	0.3379778	0.36752814	0.33431795	0.3433815	0.61780965	0.72518575	0.21011437	0.17423534	0.003249015			
CCNH_8229	84389	ccnh	0.006965785699651711	0.1591622760337412	-1.0541797	1.0541797	-1.0270834	-1.0097599	-1.0068187	1.0172075	1.0014725	1.0186135	1.011617	1.0121971	-1.0541797	0.10164901	0.52870876	0.6921199	0.18710877	0.89487374	0.2310216	0.47795412	0.37664062	0.11811346			
CCP110_8230	361634	ccp110	0.03101560916278127	0.2730830146183746	-1.085107	1.085107	1.0023642	1.0058929	1.0279874	1.018453	1.0297793	1.0179739	1.0322057	1.0488167	-1.085107	0.9336991	0.9102979	0.38663444	0.32124647	0.22319983	0.50527644	0.14551634	0.055923462	0.21159196			
CCT2_8233	299809	cct2	0.01073743922204214	0.17764019448946516	-1.0344324	1.0344324	1.000262	1.0023565	1.0097454	1.0081183	1.0167	-1.007542	1.0061368	1.0212493	-1.0344324	0.98661953	0.7910662	0.3308432	0.1482531	0.18901871	0.3780509	0.5253651	0.14029214	0.06556935			
CD33_33256	690492	cd33	0.02059813824519707	0.2327702179839756	1.2552092	1.2552092	-1.2377704	1.0485162	-1.0845016	1.041608	1.1273478	-1.0281324	-1.0537695	1.2552092	1.1833087	0.26639253	0.6326348	0.4814876	0.80011517	0.24119875	0.8165623	0.63329774	0.049658712	0.085846655			
CD55_33080	64036	cd55	0.025388703011218264	0.24499084402143065	-1.1022778	1.1022778	-1.0450623	-1.0032467	1.0172714	1.010318	-1.0020716	1.02152	-1.0092381	1.0035449	-1.1022778	0.19720508	0.8972214	0.4977271	0.7375714	0.9303672	0.57849705	0.77631235	0.923603	0.0810555			
CDC20_8255	64515	cdc20	0.04220147802411513	0.31280522062319027	-1.1376215	1.1376215	-1.0220362	-1.1122683	1.0560664	-1.0321056	-1.0687481	-1.0077529	-1.0714035	-1.091718	-1.1376215	0.6505885	0.008459102	0.1408342	0.6143758	0.0610396	0.85597086	0.021817824	0.29088336	0.07048741			
