Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Ovary
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ABL1_7952	5.611563	5.941932	4.651618	5.704619	4.6449738	5.8829536	5.9574175	5.485974	4.0216265	4.7681584	6.067022	5.594267	4.780895	6.567742	5.6302714	5.2180943	5.7233267	5.600035	5.3982606	5.3510065	5.1856194	4.995335	4.650412	5.2118273	5.4958887	5.513994	5.1847744	6.4685373	5.1796947	5.20005	5.3902364	5.675382	4.848669	5.52544	5.794785	4.8888836	5.107873	4.231694	5.1582203	5.4870033	5.1186156	5.3311844	4.5041885	5.3462415	4.9483395	5.9897914	5.0295544	4.6656857	5.633019	5.124319	5.141316
ACAA1A_7954	4.3966656	4.636438	4.2135515	4.8705993	5.0769734	5.036214	4.47493	3.9500103	4.466224	5.0597897	5.20693	4.027363	4.1402855	4.621125	4.556579	3.9235234	4.881608	4.226926	4.2911787	4.7307773	5.0836387	4.6775784	4.2302113	4.531587	4.973207	5.1449227	3.9567974	5.132686	4.0983596	4.0153146	4.6340375	5.2264986	4.6399546	4.177256	5.0689683	5.0867968	4.556895	4.140765	4.1561265	4.1678233	4.566771	4.8851295	3.2239692	4.467273	3.814556	4.6370444	4.5569973	4.035503	4.7184134	4.7230034	4.5202723
ACAA2_7955	11.805764	12.304759	13.056833	12.470861	12.642785	11.431123	11.8598995	11.896569	12.797904	12.310605	11.477529	12.458095	12.420864	12.225527	11.618114	13.295631	12.73024	13.021119	12.596323	11.674	12.596723	12.52134	12.767448	11.709838	12.183489	12.695986	11.987933	12.135869	12.588538	12.5260315	11.329839	12.600243	12.03067	12.595303	12.536644	12.376417	12.649738	12.531008	12.827934	12.183434	12.641999	12.376831	12.113372	12.602367	12.935477	11.934949	12.288144	12.488818	13.171683	12.6804285	11.790486
ACACA_32532	6.6627316	7.5907364	6.5997777	7.4624968	7.1591916	6.5441346	6.6546707	6.3708897	6.493536	6.6334753	6.658729	7.227752	7.150567	7.492529	6.871951	6.958445	6.879746	7.0616264	7.8004766	6.474894	6.3193974	6.9389343	6.3615165	6.159523	6.836639	7.0899415	7.027778	7.763203	7.226356	6.409067	6.4148636	6.609792	6.576466	6.9692802	7.553866	7.127045	6.627571	6.5361457	6.506655	6.816909	6.5203767	6.587509	6.7296696	6.907365	6.77208	7.546434	6.9899626	6.3883204	6.8387027	6.643346	6.290459
ACADL_32776	3.4206293	3.9376333	3.9318256	4.607818	4.262771	5.036214	4.1997685	3.5096447	3.6014743	3.9681726	4.766759	3.2248003	4.088981	4.0978928	4.901482	3.708639	4.0830564	3.3529303	4.7872267	4.188488	4.545595	3.954432	4.129197	4.1202965	3.624061	4.1389556	4.4903216	4.896949	3.2269905	3.8624823	4.4446173	5.1255355	4.481892	4.333668	4.2785344	4.203645	3.9228148	4.231694	3.9259217	3.8280063	3.5901098	4.5240617	4.6065555	5.099289	4.4597883	2.8589501	4.741961	3.9779222	3.824716	4.2005105	4.2351475
ACADM_7957	10.204827	8.7371235	8.012656	9.07234	7.9695644	10.072023	9.199501	9.202471	8.083459	9.877266	10.597246	9.220515	7.819328	9.855437	9.728884	8.186378	8.075962	8.145619	7.918952	8.766174	9.671855	7.9770327	7.8657618	9.424119	9.209286	8.102794	9.322448	10.40147	8.0822	8.479662	10.60144	8.819993	7.916587	9.537595	8.200174	7.972594	8.233964	7.6279645	7.596024	8.472051	8.075267	8.082382	8.606624	8.421048	8.258703	8.26172	8.047095	7.5374784	8.763478	8.078178	9.279558
ACADSB_7959	6.6901174	6.27407	5.8454275	6.517434	6.314857	6.7336383	6.3247814	6.3228526	5.5279064	6.9364057	7.16762	6.5148587	6.3952317	6.6108785	6.690174	6.4531636	6.375371	5.9700356	6.7542243	6.222773	6.4583173	6.123695	6.0659995	6.416424	7.006834	6.916025	6.717298	6.6817355	6.0854464	5.8820057	6.704114	6.418189	6.0087366	6.2399697	6.327209	6.377637	6.2173886	5.718111	5.3189054	6.135651	5.9336295	6.4568434	5.780176	6.395742	5.710025	6.667418	6.64015	5.349782	5.39328	5.837164	6.1395674
ACADVL_7960	8.181406	8.610677	8.185702	8.76988	8.330854	8.2604885	8.201953	8.123132	8.631892	8.532646	8.380068	8.229635	8.686223	8.502329	8.811656	8.740768	8.999748	8.626488	8.735695	7.972561	8.380265	8.249313	8.537576	8.225555	8.216067	8.857994	8.637742	8.515383	8.305649	7.988835	8.262703	8.730001	8.386988	8.359011	9.120916	8.794773	8.37775	8.5511675	8.254998	8.3852005	8.656253	8.347693	8.434071	8.81262	8.5485525	8.676918	8.819493	8.375345	8.647998	8.379859	8.237761
ACAT2_7961	7.4679317	7.688581	8.05493	6.6770487	6.6331563	6.839585	7.411573	6.623104	7.085658	6.249555	6.7396264	7.5504336	7.5039005	6.7485857	6.988123	7.857873	7.111324	7.772599	7.649914	7.631463	7.8148103	6.8391795	6.783286	7.5281253	8.316629	7.071621	7.1026225	7.8317885	7.6039724	6.9666505	6.329747	7.3924503	6.907078	8.603366	7.0363684	6.669876	8.108308	7.295265	8.175878	7.5596046	7.2702813	7.016574	7.0594435	7.223802	7.945621	7.161446	7.1347218	8.041211	7.9315004	7.860238	6.2735047
ACBD3_7962	3.9296522	4.010672	4.031973	3.8718657	3.1709597	4.2068143	4.1483374	3.9915729	3.7344997	4.127819	4.281942	4.0876412	2.5676877	4.3221097	3.9489625	3.8200784	3.9297364	3.9241316	4.706294	3.4727688	3.5305748	4.7126946	3.706744	4.3110695	3.5525446	4.041915	4.406865	4.4695444	4.4921856	3.426617	2.5578496	3.8236265	3.800794	4.296126	3.1354926	3.5335472	3.3240957	4.0930567	3.387655	3.0948966	3.4350822	3.8161716	3.4610372	3.9745233	3.861642	3.252381	4.306169	4.245272	3.661058	4.2688274	3.7382848
