Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Heart-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:31.50
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: heart
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
BIRC3_8147	78971	birc3	0.04161073825503356	0.24294541513774548	-1.1441329	1.1441329	-1.1441329	-1.0192292	-1.0544165	-1.0344074	-1.0070413	1.0218159	1.1300164	-1.0158137	1.0906779	0.24396774	0.53651017	0.323336	0.45750958	0.9014485	0.53095603	0.026545443	0.65525055	0.15636714			
BMP6_32921	25644	bmp6	0.016753091344236137	0.16134636103023683	-1.345615	1.345615	-1.345615	1.016348	-1.1474144	-1.029827	-1.1341019	-1.0167176	-1.0680277	1.1261011	1.2046419	0.15098062	0.7481051	0.097682685	0.644354	0.012662688	0.8190819	0.28815714	0.20706098	0.35319468			
BNIP3_8154	84480	bnip3	0.024506873879258817	0.19729948072325165	-1.061932	1.061932	1.0113671	1.0010539	1.0259408	-1.0100281	1.0113015	-1.0222677	-1.0090533	1.0286	-1.061932	0.6923335	0.954506	0.28011692	0.5691565	0.6238441	0.33386624	0.7008403	0.42418677	0.007248973			
BST1_32671	81506	bst1	0.03753723932472691	0.23371763371763374	1.4525439	1.4525439	1.0143775	1.1139599	-1.0322418	1.2487534	-1.1272371	1.339645	1.3844265	1.2207359	1.4525439	0.9266235	0.59047174	0.8542721	0.008386534	0.26828814	0.006556329	0.071666375	0.4161101	0.03256319			
BTG2_8161	29619	btg2	0.00702576112412178	0.10969767936981052	1.3013914	1.3013914	1.0185465	-1.0019499	1.050889	1.0889168	-1.032281	1.23774	1.1968225	-1.107027	1.3013914	0.841329	0.98677754	0.65871805	0.3476552	0.7673907	0.01752598	0.07089592	0.47103676	0.0055656824			
BZW2_8165	171439	bzw2	0.046119463632669645	0.25277637767235595	-1.0771998	1.0771998	-1.0015287	1.0321498	1.0285636	-1.0026249	1.0303264	1.024399	-1.0004721	1.0382087	-1.0771998	0.94259536	0.12436208	0.25349227	0.8809999	0.33104345	0.24365447	0.9757574	0.24108274	0.40080053			
C2CD2L_8174	300666	c2cd2l	0.038537549407114624	0.23780206385647676	1.1466912	1.1466912	1.0085151	1.017433	-1.0039858	1.0852709	1.0808486	1.1345608	1.1172805	1.1371918	1.1466912	0.9159305	0.8238121	0.9331079	0.23211099	0.18020803	0.015921893	0.04264204	0.028293405	0.04829225			
CAR14_8195	791259	car14	0.005728960885025681	0.10357358231612218	-1.1724114	1.1724114	1.0612336	-1.0060399	-1.0055587	1.0639917	1.0621862	1.0414602	1.0046902	1.0017029	-1.1724114	0.18344873	0.82799727	0.8931016	0.060168263	0.1618879	0.2404932	0.8857178	0.9672805	0.19108965			
CASP8_32959	64044	casp8	0.003933136676499509	0.08887988063099972	1.2699584	1.2699584	1.0265075	-1.1414175	-1.1131551	1.1289457	1.0297163	1.1349111	1.162953	-1.0192624	1.2699584	0.71041083	0.19882953	0.49381745	0.11123417	0.7819518	0.15536606	0.060598	0.83292663	0.0037495466			
CASQ1_32992	686019	casq1	0.015584415584415584	0.15967730400648414	-1.1269661	1.1269661	1.0392768	1.0823841	1.0521102	-1.0138342	1.0503591	-1.034588	1.020439	1.0676866	-1.1269661	0.46752322	0.064491205	0.421973	0.7236379	0.36223325	0.45755213	0.7197379	0.13976268	0.030388044			
