Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Kidney-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:34.08
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: kidney
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ALDH1A1_8022	24188	aldh1a1	0.019768370607028754	0.054221217909891435	-1.0610818	1.0610818	-1.0348423	-1.0301155	-1.0610818	-1.0085652	1.002504	-1.0216697	-1.0136104	1.039517	-1.0048153	0.011797869	0.02619527	0.035959024	0.6122603	0.81833977	0.16901442	0.6138999	0.12071953	0.64947			
ALDH1L1_32662	64392	aldh1l1	0.0019774569903104606	0.015836148648648646	1.1283126	1.1283126	1.0565522	1.0071481	1.0255669	-1.011071	1.0508293	1.0467477	1.0573592	1.0281029	1.1283126	0.09230354	0.8041409	0.47639218	0.7461699	0.07536735	0.25357187	0.25430843	0.35307932	0.0012235555			
ALDH4A1_8025	641316	aldh4a1	0.020750988142292492	0.05624758334765424	1.2379146	1.2379146	1.1129757	-1.0034925	1.1461185	-1.0363145	-1.1306049	1.0831311	1.029719	-1.0115178	1.2379146	0.18233396	0.9717868	0.07526815	0.72217125	0.2970286	0.40449145	0.769837	0.92308134	0.01714065			
ALDOA_32991	24189	aldoa	0.0264	0.0656708229426434	1.0725156	1.0725156	1.0021265	-1.0122057	1.0336753	-1.0072236	-1.0141579	-1.0199741	-1.0003959	1.004721	1.0725156	0.936941	0.7250769	0.24753103	0.82742494	0.6105871	0.4117867	0.98808104	0.8794935	0.09607816			
ALDOA_8031	24189	aldoa	0.02576808721506442	0.0646814153509866	1.0620079	1.0620079	1.0066035	-1.003596	1.0352302	1.0008506	-1.0247089	1.004481	1.0040642	1.016359	1.0620079	0.7301801	0.89198333	0.15540127	0.97243094	0.24495496	0.8030055	0.87789136	0.61996925	0.069464654			
AMACR_8038	25284	amacr	0.014084507042253521	0.04356370782836554	1.0306153	1.0306153	1.0051789	-1.0100456	1.0238214	1.0062785	1.0017803	-1.0021613	1.0127753	1.0234904	1.0306153	0.6206666	0.1130867	0.22193864	0.48632267	0.849047	0.82702535	0.112627074	0.042715166	0.029124565			
AMBP_33085	25377	ambp	0.02590157401872883	0.06479044340959708	-1.8145225	1.8145225	1.0164493	-1.0763314	1.3373303	-1.082758	-1.2349614	-1.8145225	1.1369249	-1.2946181	1.464815	0.92634785	0.7916891	0.12900989	0.5656963	0.14393191	0.04786788	0.4703413	0.23781535	0.091534525			
ANXA1_33262	25380	anxa1	0.008665860540104797	0.033056198427359594	1.1483855	1.1483855	1.0475186	1.0743917	1.0819322	1.0080372	-1.0232117	1.0597898	-1.0006298	-1.0010587	1.1483855	0.2695186	0.12491379	0.13001308	0.88106865	0.6375135	0.42954382	0.98704094	0.9835438	0.012958515			
ANXA4_32944	79124	anxa4	0.00819672131147541	0.03170557749929259	1.0887102	1.0887102	1.0098189	1.0200075	1.0505414	1.0059383	-1.0205631	1.0168152	1.0082084	-1.0033162	1.0887102	0.6775062	0.55627054	0.16305335	0.8756308	0.42653096	0.54294086	0.85106736	0.9088897	0.024314497			
ANXA7_8051	155423	anxa7	0.018544366899302094	0.05238314529127331	1.1518325	1.1518325	-1.0887992	-1.0460736	1.0334848	1.0077739	-1.0131222	-1.0031521	1.0526621	-1.0805222	1.1518325	0.36281538	0.59825104	0.6592458	0.9242817	0.85610646	0.95972943	0.58300894	0.42799586	0.08590015			
APCS_8057	29339	apcs	0.03363914373088685	0.07839429176893467	-1.1899508	1.1899508	-1.0382612	1.0278889	-1.1671197	-1.12047	-1.0387002	-1.0223923	-1.0447606	-1.0595484	-1.1899508	0.41049197	0.44199353	0.23597951	0.026649	0.3186923	0.30117196	0.12713645	0.05538883	0.13832869			
APEX1_8058	79116	apex1	0.017954407908008875	0.0514641433570082	-1.0909286	1.0909286	-1.0533376	-1.0909286	-1.0878894	-1.0514256	-1.0470026	-1.019747	-1.0288091	-1.0500581	-1.0278308	0.006903845	4.9617556E-6	0.004710441	0.10549051	0.024059433	0.13567428	0.015099495	0.016885495	0.25521648			
APOA2_33095	25649	apoa2	0.017529555646147575	0.05068328045516581	-1.3732194	1.3732194	-1.1962358	-1.2398988	1.0019253	-1.0551872	-1.3464851	-1.3732194	-1.2037544	-1.2820516	1.2027309	0.19053939	0.091290675	0.987738	0.55966157	0.01220603	0.0029801049	0.28127825	0.006947657	0.36303806			
APOE_8064	25728	apoe	0.027517447657028914	0.06769088542018827	-1.0680846	1.0680846	-1.0165987	-1.028619	-1.0587837	-1.0046908	1.0011209	-1.0147339	-1.0415989	-1.0300655	-1.0680846	0.60817397	0.28460366	0.066971794	0.9087428	0.9700768	0.60809183	0.17474343	0.36888665	0.038335662			
APP_8067	54226	app	0.02524349035976943	0.06390959805550762	1.1103235	1.1103235	1.0418688	1.0069729	1.0753025	-1.0046382	-1.0359395	1.035591	1.0335381	1.0067513	1.1103235	0.29749525	0.87888986	0.09290804	0.9244512	0.47816268	0.4564313	0.44855443	0.8994603	0.06155646			
APPBP2_8068	303396	appbp2	0.026869861640264687	0.06646287074213428	-1.0324048	1.0324048	-1.009117	-1.0239367	1.0093348	-1.0056585	-1.0092247	-1.0081493	-1.0167556	-1.0324048	1.0229486	0.43667585	0.039313246	0.3910343	0.6518776	0.5849079	0.38386503	0.348246	0.014898807	0.26284376			
