Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Adrenal
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ACAA1A_7954	4.872487	5.2467613	5.691677	6.125668	5.3138924	5.2958627	5.9112635	4.627479	5.518913	5.3424125	5.6398897	5.2167816	4.8005414	5.85629	5.772586	5.4632344	5.743445	5.9193406	5.781824	5.4402046	5.1961465	5.7891665	4.984391	4.9929776	5.543862	5.2513366	4.6549435	5.3994775	5.8104773	4.9572926	5.5943103	5.2092834	5.536365	4.886542	5.7672296	5.170753	5.4537096	5.607483	5.032048	5.362301	5.5158153	5.8407254	6.1275954	4.856323	5.0520835	6.033652	4.574002	4.341319	4.9154096	5.18904	4.01667
ACAA2_7955	13.5066	13.007633	13.036508	13.358942	12.813157	13.168845	13.026913	13.371705	13.098405	12.938952	12.978038	13.184545	12.913697	12.860251	13.218469	12.647992	13.469884	13.4573345	13.336797	13.254811	12.677086	13.081032	12.908636	12.744223	12.767697	12.848514	12.932404	12.817611	13.137275	12.858916	13.023605	13.0871525	13.15885	12.578096	13.271508	13.516274	13.12608	13.005847	13.4333315	13.053732	13.248029	12.601393	13.568603	13.132527	12.947303	12.830221	12.64119	13.825348	13.17992	13.052061	12.639666
ACACA_32532	6.1370144	6.882257	7.573635	6.662788	6.798788	5.899703	7.3553586	5.6683407	7.437959	6.4228573	7.4099426	6.7189546	6.07199	7.45608	6.5729184	7.5314865	6.871592	7.3489647	8.313704	7.0980883	7.04374	7.420121	7.216305	6.436454	6.912894	6.512635	6.0712986	7.1123166	6.2398543	6.7403398	6.3239446	6.4919715	7.09424	6.5470243	6.69637	6.7456775	7.3498464	7.0943666	7.410807	6.7153354	6.832696	7.2486553	7.1775093	6.3756585	7.4074726	8.124442	6.6452527	6.2995887	7.152908	6.16913	6.0407243
ACADL_32776	4.6455703	4.940009	5.379878	5.3247566	5.1284814	4.658006	5.5041947	4.598947	5.3054123	3.7615552	5.9896903	5.4336214	4.919166	5.540574	4.9125037	5.4378333	5.2291765	5.145243	5.4111576	5.058234	4.932212	5.2429566	5.510647	4.964174	4.8677344	3.8784444	4.322554	4.491874	5.8104773	5.29523	5.134496	5.35482	5.499226	4.1936393	4.899291	5.563076	5.5973616	5.2620425	5.5122676	5.5830903	5.3698735	5.2768383	4.857882	5.003337	5.3384805	5.7454095	5.0980153	5.6198997	5.142686	4.09823	3.8513718
ACADM_7957	9.068827	9.226834	9.297633	9.751366	9.044117	9.039848	9.644808	9.124449	9.785652	9.266637	9.665551	9.230072	8.788665	9.527387	9.530935	9.65388	9.434119	9.787707	10.093331	9.481176	9.018566	9.14834	9.612351	9.056049	9.087788	8.966076	9.004665	9.014043	9.473893	8.877894	9.511892	8.8282795	9.319897	8.992712	9.302209	9.272021	9.687608	9.024503	9.485875	9.410615	9.651707	9.353287	9.196736	9.450274	8.985031	9.649798	9.460368	9.658751	9.670858	8.874484	8.782095
ACADSB_7959	5.0002747	6.0006676	5.347884	6.0766397	5.2086506	5.1651397	6.2173977	4.81281	5.8521442	5.151655	5.9446187	4.989146	4.6712823	6.1920743	5.7574396	5.778607	5.6832147	5.83828	5.9847746	5.86369	4.7648997	5.7715707	5.218371	5.9260178	5.604839	5.019959	5.8728795	5.1793776	5.535867	5.163898	5.3959937	5.3079205	5.772583	4.886542	5.2319155	5.543865	5.922442	4.842182	5.7032814	6.191943	5.583599	5.636815	5.846354	5.699372	5.6135607	6.017229	5.6026635	5.029404	5.276472	4.203008	4.830434
ACADVL_7960	9.09871	9.061581	9.24432	9.22322	9.057168	8.853411	9.352509	8.657207	9.370396	8.820164	9.416003	9.2257185	8.769053	9.301606	9.193828	9.170272	9.296824	9.170827	9.531254	9.206539	8.915793	9.191986	9.293129	8.788774	9.114244	9.08865	8.598089	9.064802	9.403803	9.49705	8.942394	8.760228	9.130993	8.541243	9.038345	9.374803	9.386701	9.152836	9.550586	9.001558	9.043773	9.022797	9.196736	8.905511	9.222006	9.510076	8.978161	9.783416	9.192602	9.121717	8.670713
ACAT2_7961	7.2271757	8.371992	7.164568	7.059618	7.450391	7.2194657	6.660415	7.9785113	8.062364	8.729136	7.8495913	8.500965	7.816969	7.9189367	7.4189854	8.007795	8.589006	7.5405035	7.5650597	8.016092	8.548123	7.0116415	8.556628	8.065553	7.8659635	8.491069	8.463314	8.043201	8.3280115	8.1936865	8.005345	8.190997	7.692229	8.61505	8.406717	7.3594975	7.603485	8.522837	7.7508454	7.9773655	6.7564273	8.661018	7.1339293	8.312682	8.191842	7.0225983	7.9921436	9.468639	8.229848	9.393482	8.79922
ACBD3_7962	2.9238708	3.33497	3.1313567	3.5947828	2.721766	3.8690834	2.4731302	2.4212456	3.4344783	3.381547	2.5573542	3.6391935	1.4808881	2.9924715	2.1458483	4.035502	3.2872112	3.53373	4.081365	3.4724104	4.2349725	3.7077806	4.029261	4.0096664	3.7819533	4.028546	2.8750381	3.2266996	3.735656	3.7333512	3.5678492	3.1462631	3.7424977	2.2511144	4.6391206	3.7556758	3.9570038	2.1572115	3.9162138	2.3452668	3.8284283	3.3113954	3.2652526	3.9923668	2.6924071	3.194794	3.1413405	2.9786294	3.3439448	3.5009935	3.6646533
ACD_7963	4.7940392	5.4604096	5.2816863	5.0978584	4.1850867	4.9830866	5.429963	4.277494	4.7882094	5.176925	5.0970483	4.87517	4.9750104	4.225907	5.5620766	4.445471	5.112223	5.414948	5.4344487	5.170377	4.673356	5.478092	4.358125	4.3585324	4.7285366	4.8285437	4.6549435	5.080987	5.409497	5.3445888	5.0693364	4.7987304	5.381703	5.1838336	5.176867	4.6301737	5.527323	5.2090397	5.156062	4.8181496	5.444689	5.251055	5.169825	4.7930493	4.9424186	5.553757	4.4067097	4.4812565	4.8016357	4.5593867	4.1649613
Ace_34123	2.2856276	4.512097	3.7850728	3.2852418	2.53537	3.312213	2.9687743	3.7639384	3.5250902	3.6931424	3.6698265	3.5676093	2.8013003	4.273872	2.4769948	4.1649857	2.9206123	2.7974286	4.2483754	4.494761	4.0532312	4.2039156	3.2266061	2.5935583	4.5744596	2.5454278	2.9840875	3.4793513	2.7732315	3.8056333	2.4991803	2.30065	1.7480161	3.0910242	3.615365	3.4602058	4.216391	1.6212015	3.008742	2.5265198	3.2933702	2.148466	2.7913256	3.278096	4.308895	5.00643	3.514911	1.6157509	2.7487	2.6231062	2.7741544
