Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Thymus
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101
LOC686151_32901	6.9762144	6.7887464	7.298051	6.815409	6.8859262	7.0140452	6.8303576	7.1739283	7.3809257	7.800207	6.372564	6.8576217	7.3071823	6.638718	7.525141	6.525376	6.9140835	6.7642484	7.096745	7.5432477	7.5291963	7.1103024	7.020107	7.0870104	6.882405	6.8593187	6.850661	7.512261	6.624354	6.831621	7.3020396	7.5890274	7.2274733	6.4887104	7.3514967	7.1549373	6.6202254	7.265286	7.5819964	7.3339486	7.269429	7.236913	7.2581244	7.5584106	8.186746	6.4068823	7.223753	6.8647	7.3812704	5.355533
LOC688041_9143	6.4603558	6.922929	6.517764	6.1433573	6.4188848	6.48615	6.927224	6.5404825	7.4279523	7.0661116	6.6346116	6.75578	6.6273465	6.536697	6.6243496	6.3944306	6.5582123	6.8702154	6.477952	7.257376	6.6494646	6.922424	6.327887	6.7116785	6.688119	6.652307	6.5595374	6.076791	6.243333	6.4287434	7.2805905	6.4422283	7.0066843	6.4759164	6.8095865	6.3395815	6.386299	6.6137877	6.6046686	6.62622	6.657737	6.2951345	6.827772	7.0655894	7.246811	6.808468	6.423619	6.418836	6.774868	6.4361525
LOC688090_9144	4.3834667	0.0	0.0	0.7183006	1.7626641	10.280672	0.7811262	10.133007	4.244014	0.73842394	1.2143023	0.7812081	0.7322526	1.604508	5.035417	0.84740436	0.0	10.649934	4.816373	0.0	1.7043641	0.79371315	0.95107096	4.6165357	10.539294	5.0866256	0.6109348	1.3186675	0.74286735	10.113641	5.0705585	0.74573284	1.6780286	10.554143	0.0	0.0	10.32106	4.280655	1.601666	10.333357	0.8742511	0.0	0.79172647	5.3414583	0.0	10.66305	5.4978924	4.674029	0.7291073	6.0578856
LOC689064_32448	10.137736	10.92646	8.96222	11.449913	9.8653755	10.56259	9.3066435	10.1940155	10.931659	8.151683	9.800143	10.910351	11.28988	10.482127	9.678337	8.9901905	10.148818	10.290032	9.601038	10.466015	9.825838	9.075242	8.722425	10.585663	10.174045	9.729259	9.617552	11.184697	9.77236	9.408669	8.864168	10.385572	8.30189	10.173254	10.395469	11.172108	11.437536	9.605253	10.863911	9.838538	10.376008	9.379762	9.550155	8.754574	12.303858	11.728988	11.11127	11.438086	9.487434	9.988847
LOC689660_33277	3.1768417	6.267473	3.007888	3.230842	3.4023082	1.8134216	3.370183	3.9783583	6.481589	6.331525	3.3564253	3.2664616	3.830318	2.8324366	3.8705182	4.086208	3.0131235	2.959494	3.1825688	5.6273437	1.3253298	4.99133	3.0817585	4.532744	2.286233	3.3296127	1.0387852	0.80502665	3.7140229	2.7390974	6.7669067	2.3394096	5.6476364	3.1584895	4.2317195	1.7256354	3.2555058	3.549021	5.009094	2.9013145	4.448003	2.2954214	3.3929882	6.0394077	4.387353	0.77962667	4.0796304	4.84578	3.8229606	4.429076
LOC690911_9146	4.134191	3.7626667	3.8696868	3.728967	3.6966846	3.2930205	3.6433425	3.8435712	4.61301	6.0981073	2.9262702	2.5921547	3.5335252	3.6513636	3.8705182	2.7213345	3.5766625	2.2527306	3.5870197	4.2389555	3.3270276	3.9699893	3.0817585	2.9856625	3.503453	3.1309414	2.3834937	2.4549835	3.3825264	3.0990763	5.13572	2.5204928	6.4025235	3.6885626	2.4454446	3.3545973	3.3255353	2.7964063	4.4161205	3.155277	3.2219641	3.1404426	1.9725381	6.1951942	5.7649565	2.5889978	3.8630683	3.501787	4.327025	3.340527
LOC691603_32330	4.9888487	5.4824	6.2942986	5.402434	5.907691	5.6266994	6.4104295	5.2838793	5.0029163	5.7132316	5.7674313	5.532001	6.340009	6.8059373	5.414024	6.723875	6.3001995	5.826153	5.1801	6.2385807	5.598005	5.8992343	5.3784723	6.381259	5.6095862	5.9642563	5.8166275	5.017097	5.1975284	5.9873614	5.5955434	5.204445	5.5151124	6.3830304	5.8960614	4.9539332	6.0666327	4.91364	5.3582697	5.619809	5.5230927	4.952743	5.3129077	5.993829	5.874021	6.049162	4.900625	6.220815	4.7358966	6.6063385
LOC691962_32591	10.001209	9.619326	9.632394	9.395198	9.594734	10.089962	9.741436	9.869146	9.801245	9.643281	9.971194	9.975844	9.819509	10.020241	10.158108	9.831874	9.978132	9.982639	9.809059	9.990538	9.945238	9.995213	9.590547	9.821564	9.908029	9.8010845	9.880603	9.866472	9.749967	10.160507	9.937625	10.002413	9.234355	10.224828	9.845542	9.984585	9.674286	9.873843	9.61429	10.248074	9.77568	10.170166	9.928006	9.296802	9.3125305	10.26374	9.931754	9.82537	9.779577	9.209823
LOXL1_9149	4.4474354	5.3403883	4.373148	4.0985436	4.2133813	4.7086005	4.4486156	4.320443	5.150413	5.7673416	5.343712	4.584615	4.076349	5.562574	4.3165636	4.8959517	4.7047267	4.363337	5.26522	5.490584	4.3091593	4.099099	4.297642	3.8226986	5.266242	5.40555	4.2819724	4.124156	4.8721857	4.3612404	5.5484605	4.318398	4.736905	4.584598	4.5382075	5.1541643	4.572895	3.9329104	4.9469986	4.62803	3.3453424	4.056227	4.8471704	6.0091825	4.6954274	5.435779	4.5836487	5.56909	4.229246	5.6622915
LPAR2_9151	3.969667	3.8249414	3.3773756	2.2843535	3.6050746	3.1973834	4.1313305	3.6143644	3.5052454	3.1731637	3.1573207	3.4672759	3.448698	3.4860196	3.6270773	3.034453	3.3222358	3.706054	3.3989213	4.1808734	3.0924625	3.29313	3.0817585	4.2474957	2.899758	3.1309414	2.873219	2.9494607	3.1830075	2.8693285	4.691595	3.3889556	4.035565	3.0243285	3.7654974	3.733937	3.3923225	2.9149063	4.1109886	2.2000766	3.3453424	3.4292722	3.5810106	3.6543012	4.6139092	3.4638333	4.0796304	3.501787	2.4862745	4.133208
LPGAT1_9154	5.7162075	6.9086213	6.1298976	5.6817007	6.292441	5.81569	6.242623	6.4034395	7.112442	8.2276325	6.3139167	5.7207437	6.464055	6.788286	6.4603915	5.7482257	6.138426	6.1197357	6.036367	7.4293747	5.953941	6.6547813	5.394566	6.6232896	5.7020426	6.5663195	5.7044044	6.2984114	5.5274587	5.7202635	7.785867	6.1439047	8.017488	6.3553553	7.0941463	6.457901	5.7602262	5.720814	7.5457945	5.9734883	6.324457	6.075801	6.108451	8.1108885	7.577628	6.0952606	6.841878	6.911864	6.4776797	6.3275924
LPIN1_32940	3.4509845	4.1508837	4.373148	4.2529907	4.968754	3.0949533	4.2450237	4.041306	5.4299507	6.726985	3.0464158	4.071121	3.5335252	3.934181	2.965928	4.54716	4.147164	4.363337	4.657507	4.979512	3.4314036	4.6971083	3.1591628	3.891592	3.232955	4.2560153	3.7712479	3.925656	3.0718458	4.4048486	5.34307	3.078112	5.984831	4.0753517	5.133118	4.16349	4.2517242	3.3104298	5.42812	3.2672496	4.2089996	3.9385588	2.7759268	6.234916	5.783716	4.241624	5.2071195	4.5602202	4.8054028	4.76808
LPL_32544	7.3719954	8.192656	7.723672	7.589742	7.9743724	7.173334	7.585815	7.7555566	8.201582	9.260239	8.294196	7.3201585	7.9051123	8.841867	8.046833	7.807315	7.7618914	7.314382	8.239048	8.628988	8.299119	8.614606	7.040706	7.962664	8.534047	8.157527	7.4981847	7.4396076	7.899327	7.6506195	8.8974285	7.4053936	8.496058	8.137937	8.366642	7.7260785	8.060701	7.58422	8.565368	7.586885	7.4452276	8.259985	8.337332	9.143489	8.552128	8.164696	8.530714	8.727211	8.207555	8.981336
LRP10_9156	5.7419443	5.5015926	5.75659	4.9987216	5.513296	5.4303536	5.66034	5.7661595	6.3655996	7.387326	6.1084137	5.3908896	5.5224233	6.2054086	5.5600696	5.515971	5.523896	5.4571533	5.865153	6.4500675	5.4064107	6.4761167	5.517236	5.7253776	6.050424	6.2725325	5.264335	5.9253883	5.760391	5.594082	7.2588177	5.5131907	7.92475	5.529664	6.286885	5.6721587	5.194762	5.2430553	6.6924424	5.3668265	5.648187	5.850002	5.415328	7.871475	7.020362	5.411691	6.2668743	5.50901	6.0176654	6.0075912
LRPAP1_9158	7.6383815	8.372822	7.861138	7.5255127	7.913619	7.694946	7.9467154	8.051514	8.5137005	8.85017	8.071559	7.7442627	7.8020225	8.180557	7.9307785	7.8124537	7.986995	7.873334	7.869307	8.536484	7.8775463	8.351768	7.4859233	7.888757	7.9759336	8.233887	7.7450733	7.5587397	7.8284254	7.998945	8.817766	7.682302	9.080666	7.769858	8.499619	7.9489946	7.7401237	7.7646966	8.728827	7.8522635	7.9853644	7.871815	7.942125	8.909883	8.977791	7.904825	8.604634	8.427929	8.4654875	8.449737
LRRC16A_9159	4.7811193	5.913432	4.5855603	5.445794	5.828893	4.4004006	5.314605	5.257611	5.865355	6.521929	4.7764044	5.4864807	5.480305	5.184913	5.649817	5.0076966	5.4829984	5.185823	5.5173693	6.1505322	5.185418	5.9342685	5.2779455	4.9429755	5.241809	4.7820706	5.283992	4.594699	5.418086	4.8455853	6.253603	4.91186	7.023045	5.227785	5.2779455	4.917683	4.683702	4.6992035	6.147024	4.963396	5.23475	5.620899	4.6512113	6.2987814	6.4798117	5.4594707	5.440328	5.0280685	5.9270144	5.115448
LRRC17_32500	3.3871763	3.7626667	3.007888	3.797517	2.8840072	3.2930205	3.2662861	2.5657415	3.746947	3.3725247	3.6873484	3.1544962	4.076349	4.8862033	3.4384794	3.7853594	3.0131235	3.7869995	3.1825688	4.0571847	2.812212	1.9760416	3.3025265	3.8226986	4.3032503	5.113823	2.2298152	3.0826652	2.8199723	4.0676494	4.176183	3.2925956	2.6166186	2.525409	3.7654974	2.6743705	3.3923225	2.9149063	2.9603484	2.592888	2.1151083	3.1404426	2.9222558	4.855708	3.2540667	4.3969283	3.8630683	1.8407383	3.951167	4.085515
LRRC41_9160	4.853737	5.5759077	5.2337375	5.263939	5.296159	4.9912124	5.261551	5.566637	6.2394633	7.508773	4.8770638	5.089761	5.2983427	5.7383256	5.488894	4.6880174	5.7126164	5.028262	5.711859	6.522012	5.5524387	5.788718	5.07321	5.262012	5.510797	5.217759	4.5325933	5.3697324	5.1975284	5.1055284	6.8758125	5.230687	7.9844503	4.996519	5.9315324	5.5353084	4.8112197	5.1970186	6.7481256	5.701813	5.169459	5.5624313	5.439836	7.692843	7.2535553	5.311106	6.73422	5.869082	6.2720814	5.9421535
LSM3_33166	9.326642	9.65833	9.532561	9.122049	9.753826	9.593203	9.601677	10.011529	9.813472	9.341259	10.021542	9.661972	9.937055	9.766715	9.915069	9.908261	9.805394	9.944551	9.670299	9.667378	9.775909	9.776162	9.577389	9.7139225	9.837423	9.639702	9.790711	9.840841	9.71571	9.681137	9.62517	9.810241	9.453894	9.792242	9.528357	9.680967	9.8231735	9.911747	9.349125	9.706958	9.877572	9.665535	9.934488	9.169346	8.911103	9.688581	8.61984	8.859401	9.059795	9.01036
LSM6_32830	9.5314455	9.607195	9.3690405	9.188971	9.67436	9.687516	9.807702	9.554093	9.714999	9.546025	9.7851095	9.699861	9.557426	9.563808	9.774998	9.688316	9.784509	9.986929	9.823165	9.813109	9.882176	9.563266	9.810424	9.768746	9.892416	9.658295	9.75242	9.706665	9.600279	9.728029	9.615208	9.945125	9.657553	10.008677	9.795885	9.87187	9.669245	9.701136	9.567337	9.861021	9.526346	9.8346195	9.711083	9.560496	10.0225	9.907857	9.226463	9.581008	9.57711	9.303995
LSP1_32853	10.986107	10.516542	10.47464	10.414049	10.838441	10.400931	10.695676	10.625533	10.289078	9.87862	10.903937	10.515707	10.4996195	10.760805	10.604274	10.875338	10.758743	10.646548	10.810617	10.164526	10.530448	10.527604	10.313069	10.711873	10.825887	10.823113	10.685224	10.604205	10.904713	10.567255	10.113718	10.570306	10.086162	10.8558035	10.594614	10.904479	10.888577	10.335514	10.51113	10.677245	10.526183	10.598897	10.385359	10.393234	9.725385	10.600495	10.659221	10.375163	10.653595	11.580409
LSR_9162	4.6239033	5.4029694	3.7738855	4.709537	4.7294393	4.1678843	4.6683483	4.215177	5.093211	4.9884214	4.9091144	4.298864	4.4698462	5.237891	4.8956504	4.27672	4.593852	4.4151864	5.60706	4.8363485	3.9360316	5.290704	4.2274976	4.6566744	4.480778	4.67658	4.8812447	4.9489336	4.937059	4.605069	5.370401	4.2170343	5.807293	4.960233	5.070855	5.2447395	4.629362	4.18955	4.914919	4.496349	3.9995503	5.1771507	4.1551285	5.722953	5.0455704	5.435779	5.359819	4.909137	5.451041	5.6294093
LSS_9163	2.838089	2.3760116	2.9211068	2.2843535	3.0320523	2.433176	1.65783	2.8731194	3.3182101	4.3957872	2.4908266	2.7545786	3.5335252	3.0846384	2.010108	3.034453	2.762792	2.2527306	1.9774263	3.4176767	3.214507	3.1809173	2.6166377	2.708565	2.4657419	2.9004745	2.7654781	2.8026946	1.8851818	2.8693285	3.7463715	2.3394096	4.035565	2.8764	2.9393022	2.6743705	2.9354646	2.9149063	2.6840322	2.9013145	2.77218	3.339271	2.429447	3.9999905	4.387353	2.8972752	3.012605	2.079776	3.351428	2.8632853
LTBP1_33264	3.5707114	4.569924	4.002424	3.5012972	3.5072508	3.6225052	3.5579097	3.771141	4.393657	3.9102912	3.7594447	3.7241788	4.131818	4.509051	4.699442	3.6992087	4.342717	4.4151864	3.6726062	4.979512	3.7866135	5.1782947	2.9132533	4.695727	3.6591737	4.2560153	2.3834937	2.2436357	3.7140229	3.4713957	5.0368395	3.9272652	4.035565	3.1584895	3.7654974	3.733937	3.6322734	3.6205218	4.9469986	3.4680758	3.9995503	4.3142157	4.3226323	4.9855733	3.9292405	4.004539	4.750825	4.6370816	3.8229606	4.5743666
LUM_32586	3.5707114	4.8942485	3.5022027	3.797517	4.494363	3.5469172	4.5844274	3.771141	4.803371	4.033168	4.129577	4.131515	3.7616456	5.5831933	4.3165636	4.335016	2.8933806	4.605744	4.9931283	5.4419565	4.253295	3.6708953	2.6166377	2.9856625	3.9277663	5.4489126	3.1552193	3.6097162	3.2862132	3.7670722	5.5484605	3.4792807	4.217171	3.5969973	4.2875385	4.0340147	4.215296	3.1261802	4.4161205	4.496349	3.4589956	3.339271	4.3226323	5.6852164	4.4822855	5.174632	5.0363235	5.3353715	4.699846	5.395196
LY6C_32880	6.372463	6.4759107	5.805863	5.52879	6.3358316	5.8632083	6.373401	6.067736	6.1857495	6.257837	6.122152	6.229062	6.328185	6.823375	6.04668	6.090386	5.676796	6.0881405	6.3277464	6.728709	5.575402	6.1582346	5.295194	5.902738	6.184666	6.5663195	5.7189193	6.2707562	6.33043	6.0436215	6.532964	5.674831	6.3385997	6.044773	6.5027103	5.8365116	6.344745	5.845421	6.376355	6.243684	6.467131	6.103404	5.5564947	6.6418777	6.085354	6.279573	7.2123346	6.7740116	6.800628	7.7783628
LY86_9165	7.9512963	7.966159	7.361221	7.284091	7.932586	7.8125796	7.9340563	7.7602415	7.7389097	6.6618185	8.427414	7.955289	7.940492	8.284941	7.987823	8.488116	7.5406065	8.06405	8.036025	7.6107965	7.700866	7.8492174	7.3019133	7.6757746	8.093247	8.603639	7.847703	7.751143	7.866395	7.7169957	7.206699	7.428251	6.654335	8.109226	7.850239	8.173118	8.20702	7.740829	7.7183504	7.7158327	7.917392	7.789243	7.648196	7.6833034	6.825914	8.311864	7.5207906	7.905861	7.856875	9.515603
LY96_9166	4.853737	5.4029694	4.819477	4.6365657	4.968754	5.2514367	4.7085466	5.1758075	5.093211	3.9102912	5.6203055	5.4153876	5.032942	5.338346	5.488894	5.26923	5.5439186	5.1556573	5.60706	4.945031	5.092962	5.468528	5.224927	5.834388	5.0858226	5.267048	4.9068265	4.802111	4.537635	5.2075543	5.0368395	5.3551826	4.035565	5.715293	5.221747	5.4104304	4.994359	5.265534	4.5474677	5.1791673	5.5489945	4.649922	4.77195	4.173554	4.1764045	4.99175	4.353539	4.3479843	5.2906294	6.0075912
LYN_9167	8.147002	8.421499	8.002575	7.9436417	8.206373	8.097243	8.415977	7.9729643	9.205891	8.648692	8.465632	8.036499	7.848292	8.782927	8.3308325	8.500905	8.234987	8.010278	8.133578	9.012915	8.242856	9.067373	7.7619543	8.560319	8.290772	9.088005	7.8771205	8.235371	8.012773	8.207252	9.2572365	8.064308	8.490187	8.317189	9.263684	8.73834	7.9542017	7.953054	9.064769	8.358205	8.23713	8.266105	8.013256	9.508775	8.63711	8.575768	8.732039	8.693868	8.507804	9.72074
LYPD8_32327	3.5707114	3.8846388	2.2499688	3.3267388	2.3186743	2.0508277	2.4089377	1.6363695	1.6187009	2.1182804	1.5755196	3.9421756	3.5335252	3.0846384	2.470455	3.6992087	3.4967375	2.464409	4.328861	1.9929019	2.9591317	4.273386	2.5024672	2.9856625	0.0	3.1309414	2.2298152	3.5185971	2.1268055	2.5959332	2.0374303	2.3394096	2.432908	3.0243285	3.914752	3.1194987	3.6322734	2.368197	3.6474645	3.9429977	2.5845628	3.029709	2.6130633	0.75001764	3.1422179	3.4638333	3.2092302	2.7675169	3.1524036	4.6418695
LYPLA1_9168	5.1513176	6.138544	5.888238	5.1893644	5.907691	5.4512353	5.7783504	6.112395	7.0079875	8.092859	5.8523054	5.3908896	6.2921195	6.54723	6.188202	5.6134033	5.879482	5.8068724	6.1149116	7.680572	5.8064637	7.0714893	5.2779455	6.0606623	5.805695	5.871691	5.517783	5.960433	5.418086	5.737421	7.944307	5.2564607	8.219106	5.7581944	7.0862994	5.1226635	5.117908	5.472932	7.2759085	6.0998573	5.8902993	6.3990245	5.840417	8.603448	7.566838	5.6568217	6.781346	6.6496787	6.8259363	6.4643946
LYRM1_9169	5.4456577	6.2102933	5.639158	5.8685536	5.7019877	5.644941	6.052697	6.0976615	5.8481693	6.343448	6.4831567	5.314796	6.328185	5.643339	5.7136436	5.636767	6.1645255	6.376695	6.3795724	5.4419565	6.2392097	5.951472	5.6966963	6.4050183	6.4740624	5.4489126	5.264335	5.977641	6.7379475	5.6312737	5.99727	5.9203095	6.01786	5.899035	5.3583403	6.3532176	5.3028727	5.987419	6.1331487	5.956885	5.5489945	6.2831154	5.7255034	6.3357863	5.518462	5.387195	6.000961	5.529316	6.0609403	5.915124
LYZ2_32611	7.5427837	7.60277	7.7043123	7.99563	8.304283	7.3449407	8.360291	7.7602415	7.495737	7.6402493	8.432937	7.5587773	7.400475	9.223106	7.9791923	8.937073	8.524183	8.350358	7.913926	8.4157715	8.4434	8.131729	7.2002864	8.80318	8.034005	9.943377	8.081889	7.9903502	7.551202	6.9093776	8.390507	7.547875	8.041779	8.247385	8.723551	8.298232	8.000428	7.0295224	8.155894	7.9727764	7.512593	6.9481473	7.8307047	8.983631	7.855453	8.179037	8.445504	8.364358	7.0429177	10.494786
MAD2L1_9171	9.1612425	8.966728	9.229294	8.797425	9.0474205	9.404008	9.189035	9.476498	9.50077	9.210651	9.045634	9.327962	9.280529	9.013106	9.433402	9.411873	9.150088	9.495419	9.369145	9.355771	9.344393	9.344683	9.273444	9.182322	9.298867	9.209596	9.279777	9.405021	9.143107	9.479213	9.632243	9.423378	8.757938	9.341619	9.306531	9.318706	9.041185	9.46297	9.170447	9.411895	9.192225	9.234411	9.580782	8.944236	9.342891	9.049617	9.143225	9.184714	9.047297	7.7969904
MAFF_9172	1.7508905	2.8047018	1.2682979	0.0	3.5072508	0.7037096	2.5919912	1.93046	2.9824512	4.827943	2.6510267	3.7241788	2.653025	3.571059	3.2214658	2.7213345	3.3222358	1.3255799	2.9279482	3.991122	2.812212	2.926336	0.95107096	2.1571875	2.286233	2.6260598	3.0672047	2.8026946	2.8199723	2.0543709	3.7463715	2.6813607	5.369172	2.525409	3.5079443	3.1194987	1.7548914	2.368197	3.8645566	2.4098105	1.4147377	3.5139868	2.429447	4.2270594	3.7113912	2.8972752	2.655959	1.8407383	3.0415485	2.745473
MAFK_9173	3.4509845	3.2298946	3.089744	3.5812464	3.166309	3.38271	2.1992354	3.9783583	3.5903919	4.033168	4.129577	3.0331047	2.9283342	3.3956518	3.8705182	3.1687396	2.762792	3.4317813	3.5870197	3.6060135	3.7866135	3.0592349	3.3691974	3.7503493	3.503453	3.6599355	3.3910077	3.7763176	4.2618666	3.2015438	3.2538571	3.792823	4.217171	4.676929	3.5990007	3.5566993	3.3255353	3.2212443	2.9603484	3.4680758	3.7544434	3.9385588	3.1767366	3.7303836	3.7877216	3.7970502	3.2092302	2.6238353	3.0415485	3.8200786
MAK16_9175	4.853737	4.416588	4.271578	3.5012972	4.494363	4.1165204	4.298678	4.418548	4.872998	4.7583957	4.4238753	4.400534	3.6895404	4.11498	4.612822	4.152547	4.8724556	3.7869995	4.5257087	4.8363485	4.605345	4.523933	4.364534	3.891592	4.6388354	4.7820706	4.5650907	4.2986183	4.5788755	4.3612404	5.0705585	4.4582243	5.369172	4.7637043	4.1736536	4.5424743	4.5438104	4.2358217	4.97838	4.0089135	5.0656238	4.5329933	4.4243884	4.9541864	4.772585	4.2952714	5.4597726	4.745201	4.7358966	4.9117436
MALT1_9176	4.6782346	4.569924	4.236068	3.5012972	4.2133813	3.8905556	4.4486156	4.041306	4.34548	5.3611064	4.0164323	4.298864	4.5534744	4.057195	4.1419787	3.8666542	4.2962575	4.071808	4.161317	4.7982225	3.4314036	4.7764773	3.6087723	3.7503493	4.045376	4.7126074	3.7712479	3.5185971	3.3825264	4.2219005	5.3972235	4.4582243	5.709596	4.2050543	4.6700554	4.16349	4.017927	3.6205218	4.705842	4.4496417	4.604402	4.165018	4.031575	5.914511	5.0141416	4.3969283	5.2745504	4.3479843	4.9958377	5.3755007
MAN2B1_9177	6.3221645	6.416479	5.9443245	6.502852	6.3070498	5.9092116	6.242623	6.265244	7.313655	7.7155795	6.5659056	6.434791	6.0254583	6.6188827	6.484986	6.1402817	6.4242043	6.0881405	6.3667893	7.3259773	5.953941	6.8231144	5.6966963	5.9995513	6.2595973	6.377251	6.041146	6.4040165	6.2937446	6.0436215	7.236711	6.198108	8.2226515	6.449982	7.1403537	6.1178746	6.2756643	5.973832	7.481539	6.5058265	6.425791	6.681355	6.1973805	8.249858	7.2126064	6.2390814	7.449637	6.8647	6.757436	7.028219
MAOA_32516	3.3204148	3.319142	2.3857944	3.230842	2.5326867	3.2930205	3.0329328	3.4384506	2.9824512	3.1731637	3.9563484	1.6579639	2.7972367	2.9640415	2.470455	2.5349493	3.792875	2.464409	2.6185498	3.3134062	3.0924625	4.099099	1.2630109	2.5471098	2.899758	3.0203052	2.2298152	2.2436357	3.47281	2.0543709	3.3667293	2.3394096	0.7935224	2.0605931	3.5079443	2.0272756	2.1127045	2.5254831	3.2954373	2.592888	1.4147377	3.8104339	3.6665654	4.2270594	3.1422179	1.6553793	4.353539	3.9260592	2.790463	4.5035496
MAOB_9179	2.3945668	3.5578816	2.3857944	1.8403511	1.3760093	3.2930205	3.0329328	2.3834002	3.9539063	2.8104782	2.4908266	0.7812081	1.577099	2.9640415	2.965928	3.034453	2.075549	2.812569	3.294797	3.0791085	2.9591317	3.29313	2.2428248	1.2534919	2.7690759	3.1309414	2.3834937	1.3186675	2.5146248	1.8167635	3.5690024	1.2349008	2.779556	2.525409	2.2344337	2.8384852	2.3991756	2.5254831	3.7957594	2.4098105	2.1151083	2.9097645	3.1767366	1.8981129	3.6307955	3.6400409	3.1142647	2.4642453	2.3061686	2.972199
MAP1LC3A_33215	5.051938	4.495292	5.1598597	4.9086175	5.2665663	5.2514367	5.1196957	5.545079	5.865355	5.657013	5.115503	5.4153876	5.1450257	5.562574	5.0683413	5.2081556	5.419391	5.575809	5.54032	5.605432	5.4812713	5.605242	5.224927	5.456462	5.510797	5.789741	5.360044	5.3697324	4.9684334	4.9375362	5.618521	5.0360994	5.5151124	4.8052106	5.80337	5.7566743	5.0980377	4.8256106	5.2848644	5.4403358	5.0656238	5.6016717	5.3650265	5.777768	4.8810954	5.5057187	6.3732395	5.770171	6.0609403	6.3275924
MAP2K5_9180	6.0195436	6.3858194	6.1298976	5.7175236	6.595886	6.348232	6.4345975	6.4034395	6.773225	7.387326	6.461706	6.410623	6.4961133	6.7339993	6.5563498	6.338533	6.6066113	6.21057	6.513181	6.970743	6.60552	6.1282907	5.747706	6.2029924	6.575312	6.5663195	6.245444	6.28465	6.08058	6.26091	7.0716863	6.013945	7.4373426	6.5631814	6.828526	6.5672483	5.915885	5.7369914	6.927654	6.71776	6.324457	6.410119	6.029911	7.499836	7.5883384	6.557184	6.000961	5.9006004	6.2597528	6.317306
MAP3K4_9182	4.730594	5.2749686	4.912392	4.8125086	4.2133813	4.265432	4.5844274	4.554229	5.7405205	6.245181	5.0877657	4.4955087	5.2490253	4.9190154	5.0683413	4.595657	5.259067	5.061181	4.7391253	5.732173	4.5132113	5.5385036	4.4896755	5.3625107	4.349722	4.6396294	4.3581285	4.7226877	4.451439	4.5671864	6.065748	4.585688	6.813291	4.923011	5.724675	4.8804984	4.6014047	4.280655	6.0170603	5.207517	4.992002	5.501493	5.3392024	6.2987814	5.9424043	5.055321	5.606557	5.97651	5.7619944	5.395196
MAP7_9184	6.25225	6.632109	6.040093	5.7524786	6.721166	6.2080436	6.571674	6.4389396	6.920258	7.340499	6.5354285	6.4819455	6.8504114	6.7523227	7.1554737	6.204233	7.003556	6.7642484	7.312085	6.987782	6.8882604	6.7561617	6.4093513	6.776867	6.409716	6.172606	6.323501	7.008624	6.446386	6.2960753	6.856613	6.8418064	7.234515	6.6568494	6.8000226	6.9725995	5.9044895	5.6879053	7.1228347	6.605065	6.1322412	7.434585	6.855364	6.791449	7.2126064	6.761591	6.600462	6.612094	6.842565	6.6063385
MAPK1_9185	7.1496806	7.515771	7.3735294	6.8071203	7.45046	6.761625	7.4322476	7.4128575	8.221739	8.877079	7.304821	7.096026	7.233027	7.4525175	7.6500187	7.1134596	7.4795427	7.272828	7.5624375	8.280578	7.3936486	7.8943954	6.9235845	7.4938636	7.3563895	7.60255	6.896074	7.529866	7.201136	7.113722	8.62416	7.062401	8.859368	7.4417076	8.09669	7.5418687	6.8632627	6.877287	8.578227	7.6189	7.0691977	7.603583	7.481139	8.855708	8.786427	7.122264	8.0496	7.697347	7.865037	7.418204
MAPK10_32770	4.538366	5.8549385	5.061852	4.47852	5.005047	5.203012	4.400347	4.996815	6.1441097	6.011081	4.0164323	4.245209	6.010739	5.643339	6.3575926	4.595657	6.369156	4.9945745	4.9931283	6.024096	5.3542542	5.626819	4.880973	5.5012383	5.11302	5.9340563	4.658407	4.594699	4.210308	4.9075327	4.691595	5.5131907	4.6966753	4.5361176	5.9139056	6.0691304	4.3219333	4.4472337	6.9436417	5.5102806	4.2725635	5.989674	5.083278	5.795587	7.3636365	5.8484535	5.861727	6.385808	5.5756307	4.965429
MAPK14_9188	7.416625	7.8844423	7.624166	7.420753	7.870008	7.3725696	7.6439767	7.769567	8.472237	9.616507	7.7205887	7.729685	7.509199	7.7817454	7.961775	7.2859254	7.986995	7.62076	7.8279347	8.893677	7.772168	7.929546	7.306174	7.8546543	7.764944	7.795467	7.4684286	7.7710195	7.660895	7.703963	8.92534	7.710547	9.707756	7.626715	8.448502	8.010527	7.37765	7.214198	8.846171	7.77386	7.720622	7.851611	7.7447953	9.682825	9.422855	7.5272565	8.27213	7.8301325	8.279545	7.941291
