Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Liver
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ACACA_32532	7.2266974	6.392638	6.416814	6.643051	5.13857	6.699017	7.9037447	6.7413006	5.515206	4.572232	6.627376	6.8661294	7.5769973	5.222374	7.2561264	8.586154	4.524693	6.221285	6.942979	5.7030096	5.6984243	5.518915	5.4956613	6.819082	6.446763	5.109225	6.8284225	5.2740173	7.0896115	7.1390934	5.8897166	6.8548994	6.81568	7.29694	7.0750012	6.505527	5.815745	7.373521	6.4808517	6.244064	7.508598	5.8583183	7.0653334	6.9165087	6.2816687	4.9606285	6.3352327	6.589203	5.8626094	7.104327	7.239748
ACADL_32776	4.0559454	4.318825	3.641208	3.7279463	4.5899234	5.479366	4.1881156	3.4897087	3.1392663	3.3762581	4.696748	4.8332753	4.1736197	4.042216	3.7169144	4.47655	3.4310606	3.0510337	3.9880276	3.9794579	3.8133512	4.046641	3.3149385	4.1603475	3.3626628	3.350593	3.8769553	4.262797	4.7795334	4.1450176	4.033263	4.9543867	4.6184697	4.29388	3.674925	3.8156226	4.017888	4.4758024	4.4471426	4.0370417	4.809806	3.4063034	4.120736	4.397464	4.0212827	4.090102	4.6287584	4.5784903	4.115946	5.30867	4.992195
ACADM_7957	8.702562	8.42156	8.291587	8.17433	8.446388	9.302256	9.056258	8.375561	8.337048	8.328176	9.178561	9.526409	9.031612	7.941989	8.377974	9.202773	8.080663	8.326185	8.648145	8.287624	7.902762	8.629515	8.278319	8.868554	8.380762	8.404274	8.277584	8.490801	9.028596	8.773329	8.56088	9.434935	9.23064	8.522219	8.510551	8.397079	8.336426	8.952671	9.211342	8.3329525	9.207852	8.193129	8.96557	8.596036	8.491861	8.54521	8.762888	8.987918	8.616272	9.381744	9.790004
ACADSB_7959	6.3359327	6.766316	6.6466627	6.246311	6.3038445	6.335006	6.010624	5.9118567	6.4993467	6.646736	6.432916	6.3290696	6.378283	6.3046637	6.4472494	5.850506	6.4669623	6.6350107	7.0207467	6.5819316	6.3796787	6.43761	6.2803736	6.911892	6.871347	6.3889832	6.118107	6.553573	6.221922	6.623274	6.6200514	6.282673	6.734393	6.35164	6.6096253	6.5499873	6.243786	6.028382	7.063457	6.297404	6.339259	6.2820373	6.2909107	6.466359	6.2816687	6.36524	6.291057	6.532477	6.1564083	5.720883	6.5554013
ACADVL_7960	8.237418	8.186058	7.6975746	7.845397	8.0939	9.285024	8.846345	8.107672	7.8025265	7.9754505	9.52706	9.733415	8.820544	7.765876	8.077388	9.110212	7.6985307	7.979785	8.58438	8.073556	7.7795663	8.083546	7.9230013	8.96917	7.917566	8.164294	8.150634	8.131607	9.017427	8.483614	8.176159	9.459951	9.3995495	8.310403	8.072965	7.7660694	7.772536	9.215472	8.752652	7.7792635	9.125196	7.717333	8.719239	8.290639	7.9918427	7.8490343	8.404438	8.683732	8.062835	9.540527	8.879067
ACAT2_7961	4.689109	5.016904	5.363513	4.8479276	5.4588256	3.9992502	5.803714	5.0829034	5.323867	5.2929783	5.062364	5.523953	4.7316847	4.870803	4.660986	4.904039	5.760494	5.55197	4.8205657	4.873638	4.6899023	4.0959873	5.432984	5.690492	5.149432	4.994941	5.2608433	4.8224883	5.624328	5.96882	6.1460824	5.6117997	4.8881755	5.1913095	4.912673	5.157515	4.9726577	5.8191595	5.62577	5.9023066	4.9807363	4.8975725	5.526405	5.060873	5.386716	5.617457	5.8329263	5.2049875	4.5687904	5.7944593	5.9693513
ACD_7963	2.900853	3.5184152	2.9180672	2.2537787	3.029203	3.5732586	2.687183	2.775597	3.1392663	2.8140216	2.8546715	3.1901803	2.825361	2.9501524	3.2486126	2.658931	3.9707334	3.3888056	2.8469756	3.0681372	2.7816195	3.2668464	2.612409	3.45989	3.6178055	2.4855142	3.5335824	3.4260373	1.9548117	3.1216714	3.1187904	3.0651286	3.1464343	2.9577408	2.717268	2.7413929	2.8237183	3.133363	3.47579	3.074262	3.379602	3.0359254	1.9737837	3.1327386	2.9457242	3.2228334	3.0538995	3.2723298	2.7405214	2.4553113	2.3208134
ACLY_7965	9.525153	8.6119585	8.581285	8.718627	7.57317	7.879065	10.373112	8.628309	8.114871	7.4753366	6.892525	7.297313	9.092409	8.705571	9.422529	10.62925	7.800998	8.618743	8.632466	7.130518	7.7709665	7.058058	8.189475	9.224203	8.916561	7.6914005	9.439439	7.2018747	8.58344	8.827341	8.347659	8.845521	7.4598117	9.742684	8.690082	8.708868	8.101151	9.277034	8.535824	9.0096655	9.628009	8.3473	9.720534	8.934507	8.3043165	8.264514	8.660265	9.10925	7.7753773	8.902095	8.666482
ACO1_7966	6.3832836	5.8218045	4.3698144	5.630224	5.432477	7.420887	6.7608967	5.533528	4.9459305	5.4338593	7.3766446	7.708619	6.732281	4.9977536	6.017562	7.0585394	5.0086403	5.5961113	6.111531	5.719958	5.4624586	5.939645	5.3449388	6.719888	5.6652913	5.471663	6.229993	5.390354	7.256325	6.5948095	5.759305	7.5656486	7.3987675	6.466525	6.235539	5.641244	5.6683106	7.095919	6.909955	5.4907146	7.132926	5.3004584	6.3747463	6.310293	5.722697	5.371505	6.4799924	7.018961	5.905985	7.5383186	6.8689833
ACO2_7967	2.6759436	2.7830825	3.0666265	3.5066	3.6020954	3.0867572	2.687183	2.6127405	2.8856955	3.0657377	2.8546715	2.9776287	2.825361	1.8841379	3.1533265	3.2123806	3.346841	2.4256833	3.0761974	2.709329	2.7816195	3.2668464	1.8309125	3.1902735	2.6568396	2.4855142	2.579879	3.2400901	3.1786554	2.617292	3.7192314	3.5914567	3.3974993	3.153358	2.5745082	2.613164	3.0523841	3.0455236	3.1498024	2.864066	3.4588878	2.9262977	2.6485448	2.4680812	2.017051	2.4564686	2.3953311	2.7155557	2.886259	3.1592717	3.3411362
