Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_testes_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.38
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: testes
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
CCNB1_8222	25203	ccnb1	0.0425657120439388	0.40432416745265903	1.2573363	1.2573363	1.1081464	1.0171512	-1.0371073	-1.2290119	1.0686655	-1.2130625	1.0501133	-1.0449737	1.2573363	0.17585948	0.9177866	0.7087209	0.33050308	0.4412933	0.12757838	0.77790093	0.62313896	0.026080813			
CCNB2_8223	100364016;363088	ccnb2-ps2;ccnb2	1.9801980198019803E-4	0.032211245844842924	1.0340149	1.0340149	1.014234	1.0224191	1.0189104	1.0115621	1.0112053	1.0099757	1.0070301	-1.0047632	1.0340149	0.1638015	0.01759704	0.03889144	0.29848415	0.34286425	0.28737783	0.38508657	0.6615106	0.0032245873			
CCNF_8228	117524	ccnf	0.010094891984655765	0.23150952284810555	1.1064575	1.1064575	1.0436714	1.0596919	1.0571008	1.0248405	1.0463033	1.0371913	-1.0107164	-1.0070609	1.1064575	0.22848763	0.113395065	0.10681116	0.5789171	0.28747764	0.34196988	0.8006311	0.80868924	0.05625346			
CCNG1_32302	25405	ccng1	0.00851991281949673	0.22676075358033057	1.2806771	1.2806771	1.0455444	1.0440046	-1.1687113	-1.1918541	1.0644633	-1.0159626	1.1681125	-1.0054003	1.2806771	0.7415452	0.6257573	0.20517446	0.10795022	0.35007477	0.84752977	0.16397564	0.9482153	0.041435745			
CD81_32607	25621	cd81	0.0077273627897761045	0.22404809619238478	1.1467727	1.1467727	1.1176327	1.0082744	1.0054586	1.0332675	1.0536798	1.093485	1.0516862	1.1467727	1.0612104	0.0063398997	0.8455825	0.89240503	0.31117263	0.16690184	0.02270493	0.32616073	0.0045007663	0.17576765			
CD83_32673	361226	cd83	0.004176610978520286	0.16664103589333498	-1.2297924	1.2297924	1.0931053	-1.0739145	-1.0968498	1.0752171	1.0302134	-1.0692546	1.0599529	1.0223157	-1.2297924	0.22485545	0.3666321	0.20600717	0.35265946	0.64163303	0.41494468	0.4546196	0.79979515	0.06216563			
CD86_32871	56822	cd86	0.009777958851089836	0.22676075358033057	-2.3913243	2.3913243	-1.2648678	-2.3913243	-1.1955465	-1.1161122	1.1669761	-1.089336	1.0906273	1.2407064	1.1999213	0.30232832	0.00460829	0.12957565	0.16124344	0.34247348	0.68058175	0.6798427	0.055413444	0.2085369	0.01	0.1	
CDC6_32573	360621	cdc6	0.012948207171314742	0.2545247581104155	1.1180696	1.1180696	1.0086007	-1.0058463	1.0011071	1.001556	1.0265021	-1.0035111	1.0168196	1.037855	1.1180696	0.75142604	0.8518514	0.98578405	0.9683547	0.36161464	0.9284372	0.69750595	0.39449808	0.03505549			
CDCA3_8260	297594	cdca3	0.0023828435266084196	0.12681248463996067	1.054613	1.054613	1.0124154	1.0248673	1.0237198	1.0168207	1.025549	1.0173762	1.0390332	1.0155365	1.054613	0.5738272	0.29069838	0.09590665	0.30445907	0.08100707	0.17495693	0.12781395	0.28897107	0.003377778			
CDKN1B_8272	83571	cdkn1b	0.0429656274980016	0.40432416745265903	-1.0543498	1.0543498	1.0001727	-1.0188239	-1.0169518	-1.0196507	-1.0381432	-1.0241828	-1.0452222	-1.0543498	-1.0515198	0.9944611	0.32832408	0.38005924	0.2978153	0.056757595	0.24710488	0.2957653	0.012727422	0.1616852			
CEBPZ_8284	362686	cebpz	0.017303822937625755	0.2927466437972095	-1.082154	1.082154	-1.0210601	-1.0185765	-1.0051227	1.0054086	-1.0440763	-1.0270013	-1.0539082	-1.082154	-1.0150074	0.3873769	0.2880483	0.7847729	0.7385014	0.04965901	0.13441117	0.114014804	0.0012927024	0.4969926			
CENPI_32983	25448	cenpi	0.04309656823623304	0.40432416745265903	1.2799901	1.2799901	1.0336887	-1.2440771	1.098501	-1.1564926	1.0981383	1.1562083	1.1197746	1.164785	1.2799901	0.7886046	0.28248948	0.27721772	0.4448163	0.32517692	0.30871615	0.21749902	0.15195385	0.14144789			
CENPW_32846	689399	cenpw	0.019939577039274924	0.31499523844407007	1.0483029	1.0483029	1.0086477	1.0093598	-1.0124182	-1.0064148	1.0133713	1.0104415	1.0387603	1.0223649	1.0483029	0.5852164	0.5801999	0.4361503	0.63652366	0.4806137	0.52947086	0.12257254	0.34836078	0.07275679			
CEP57_8291	315423	cep57	0.025568753774914434	0.3586577007629639	1.030561	1.030561	-1.0051547	1.0178887	1.0054336	1.0108192	1.0101593	-1.0126098	-1.0015559	-1.0164036	1.030561	0.7585651	0.19038984	0.70735306	0.46846902	0.58490396	0.33444786	0.89970857	0.30063167	0.0543819			
CES1D_32914	113902	ces1d	0.03904206077681626	0.38741737232379214	-1.0614245	1.0614245	1.0274019	-1.0262635	-1.0370301	-1.034837	-1.0469948	1.006071	-1.0435467	1.0056025	-1.0614245	0.45462826	0.32210338	0.17351954	0.19186729	0.040292885	0.753443	0.21205695	0.80987006	0.24761136			
CFHR1_8295	289057	cfhr1	0.0010111223458038423	0.07196401799100449	5.4646893	5.4646893	1.4791725	1.4704365	1.8656815	1.4538462	2.9403594	-2.3124535	2.375566	3.0609956	5.4646893	0.5331642	0.3966873	0.5068899	0.7133482	0.23081107	0.2986651	0.01975719	0.029991008	0.0012049575	10.0	30.0	
CFLAR_8297	117279	cflar	0.01260252050410082	0.25253982835402033	1.2569319	1.2569319	1.0668027	-1.1140745	-1.1562582	1.0044613	1.0153582	1.0110339	1.1001594	1.0622896	1.2569319	0.61206466	0.40043643	0.14899716	0.96720076	0.9088021	0.9165527	0.3834338	0.6110591	0.05764217			
CHCHD4_8302	312559	chchd4	0.014705882352941176	0.26860254083484575	1.0946991	1.0946991	1.0216163	1.0106922	1.020919	-1.0104614	1.037764	1.0591657	1.0837799	1.0720783	1.0946991	0.4689039	0.75734913	0.38620722	0.68770254	0.33286873	0.11136187	0.1379623	0.066500984	0.054252546			
CIDEC_32477	500292	cidec	0.007207207207207207	0.2220250100847116	1.1688547	1.1688547	1.0629942	1.0169265	-1.030705	-1.0087049	-1.0081823	-1.0028013	1.0381982	1.0483073	1.1688547	0.24317305	0.7131856	0.49871373	0.8583398	0.9149525	0.96518993	0.7090775	0.3672843	0.0109597435			
