Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Brain_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:34.39
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: brain
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
COL3A1_8354	84032	col3a1	0.036448788434127466	0.7562932097320412	1.1634085	1.1634085	-1.0637026	1.1154253	1.1477102	1.0030328	1.0732011	1.1417098	1.1634085	1.1098402	1.1312156	0.37776127	0.021082895	0.030764105	0.96786654	0.34044966	0.029603014	0.120271906	0.1786609	0.039622616			
COL5A2_32669	85250	col5a2	0.048216776250249054	0.7822193115645805	1.612984	1.612984	1.2299916	1.3307391	1.4606497	1.2497557	1.1155688	1.2326864	-1.0436838	1.182127	1.612984	0.099280916	0.19295327	0.18517283	0.22044194	0.7511469	0.29833645	0.8958429	0.44215465	0.012331653			
COL6A3_33029	367313	col6a3	0.03830563437373328	0.7562932097320412	-1.3550293	1.3550293	-1.3550293	1.102296	1.2111474	-1.0454081	1.1075007	1.1416887	1.1930269	1.141663	1.1669683	0.099019185	0.32554007	0.07081201	0.7541286	0.32012707	0.26827663	0.20150551	0.23553123	0.112070605			
CPQ_33239	58952	cpq	0.018127490039840637	0.6601480398428219	1.1039268	1.1039268	-1.0528721	1.0821631	1.0958316	1.0250808	1.0879298	1.1039268	1.0891722	1.077352	1.061476	0.30208734	0.040867805	0.021958891	0.6676966	0.05600448	0.020775918	0.15673819	0.07160524	0.20076315			
CPS1_32421	497840	cps1	4.078303425774878E-4	0.2148246329526917	1.9837848	1.9837848	1.1448541	1.4196546	1.6152868	1.3534329	1.6091768	-1.0074341	1.3884969	1.7366166	1.9837848	0.5614653	0.02653692	0.052600358	0.13911757	0.0077671446	0.97449976	0.026372015	0.001330932	5.1963132E-5			
CREG1_8380	289185	creg1	0.0010212418300653595	0.3104372937293729	1.0793003	1.0793003	-1.029842	1.0023247	1.0462375	-1.0087284	1.0012773	1.0100238	1.0333097	-1.0055883	1.0793003	0.06937913	0.8404145	0.044020418	0.6392064	0.93699765	0.43437308	0.39586645	0.712133	0.0836117			
CYP19A1_32995	25147	cyp19a1	0.018452380952380953	0.6601480398428219	1.7690275	1.7690275	1.2461305	1.1270373	-1.7246335	1.2871485	1.0411842	1.4656323	1.713442	1.5452194	1.7690275	0.3278525	0.7332473	0.2710885	0.3331395	0.8889361	0.07615728	0.02048414	0.14457826	0.06822085			
CYP2B1_32451	24300	cyp2b1	2.0267531414673692E-4	0.14234562896905825	-2.8460536	2.8460536	-1.1188526	1.0785084	1.04283	-1.0435853	1.1859871	1.0123303	1.0714866	1.1126899	-2.8460536	0.30486906	0.4818469	0.6704236	0.66047287	0.08547763	0.9297054	0.46285808	0.4104023	0.0044948016	100.0	300.0	
CYP2C11_32593	29277	cyp2c11	0.04614767255216693	0.7822193115645805	-1.6217626	1.6217626	-1.1109267	1.1431125	-1.6217626	-1.4013524	-1.1680354	-1.3777565	1.4310808	1.4083455	1.5778811	0.7739626	0.55772036	0.24896072	0.3243429	0.6600626	0.21300109	0.33128068	0.13741419	0.009421463			
CYP2C6V1_33169	293989;100911718	cyp2c6;loc100911718	0.0016158351848111492	0.3104372937293729	2.7267442	2.7267442	1.0506994	2.1092358	-2.0793917	1.1625	1.5723752	1.1935031	2.2663052	2.5572484	2.7267442	0.90940434	0.042132344	0.28830045	0.75380236	0.30033264	0.7287234	0.058552988	0.016988209	0.0016957748	0.01	0.1	
