Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Liver-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.56
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 11 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: liver
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AGMO_33265	362732	agmo	2.0308692120227456E-4	0.0036967747116988152	1.2331897	1.2331897	1.0043043	-1.0392886	1.0006089	1.0043839	-1.0114001	1.0176445	-1.0487205	1.0028634	1.2331897	0.94371176	0.28154802	0.98713213	0.90693897	0.7800425	0.62572473	0.42575234	0.9520676	6.5461118E-6			
AHSG_8003	25373	ahsg	0.00713577799801784	0.043623017839445	-1.0698127	1.0698127	1.0136839	-1.0518303	-1.024469	-1.0104417	-1.0397164	-1.0027704	-1.0227826	1.0137963	-1.0698127	0.5620451	0.044301417	0.45724946	0.7135465	0.1632181	0.92476803	0.35231742	0.5613094	0.01784157			
AIMP2_8006	288480	aimp2	0.004122497055359246	0.028173396906712753	1.1740708	1.1740708	1.0636148	-1.0819012	-1.0060158	1.0465345	1.0640103	1.0600531	1.102448	1.0989325	1.1740708	0.37972498	0.3821552	0.93150383	0.54166484	0.40371475	0.41224208	0.20336755	0.24370505	0.037124522			
AKR7A2_8014	171445	akr7a2	0.007801560312062412	0.04677947083669608	-1.1432992	1.1432992	-1.0440477	-1.1215384	-1.0750619	-1.0474932	-1.0598073	-1.0568798	-1.1432992	-1.0523983	1.066381	0.4035934	0.020350693	0.14903858	0.31265476	0.23010837	0.33490506	0.012950607	0.4358621	0.13929838			
ALAS1_8018	65155	alas1	0.04935064935064935	0.16051453266783564	-1.1745081	1.1745081	1.0319622	-1.1315272	-1.110361	-1.1126294	-1.1671481	-1.0313007	-1.1745081	-1.0274241	-1.0039394	0.39634615	0.03439075	0.06478709	0.009517604	0.020728739	0.5714848	0.006702539	0.5396523	0.92601377			
ALAS2_8019	25748	alas2	0.005333860134334255	0.03493849485410667	1.4021239	1.4021239	1.0459244	1.2013391	1.1247594	1.1874311	1.1170943	1.1106083	1.296863	1.1378133	1.4021239	0.71217024	0.21582977	0.47829705	0.30282873	0.5220757	0.40493184	0.029194165	0.35843498	0.008066875			
ALB_8020	24186	alb	0.011240465676435166	0.06129382851435901	1.028309	1.028309	1.000672	1.0227264	1.012929	1.0151904	1.0071186	1.0021799	1.0274823	1.028309	1.0235789	0.9476922	0.043864377	0.24717471	0.16983333	0.4853833	0.829501	0.13742031	0.051533483	0.032183155			
ALDH1A1_8022	24188	aldh1a1	2.0206102242877348E-4	0.0036967747116988152	1.5803668	1.5803668	1.3162825	1.2629027	1.2327269	1.2561319	1.1999158	1.1302441	1.2665646	1.2661479	1.5803668	0.0023186489	0.0067883027	0.014437706	0.013552552	0.03911915	0.098435715	0.005484825	0.007260948	2.5327377E-5			
AMACR_8038	25284	amacr	0.002962670353545329	0.02216975563687876	-1.0980082	1.0980082	-1.0853233	-1.0980082	-1.0779458	-1.0846546	-1.0299901	-1.0455949	-1.083472	-1.0810778	-1.0852234	0.033613563	1.6735076E-4	0.015408164	0.008491007	0.19599116	0.07886993	0.061955426	0.0018835486	0.027293546			
ANGPTL3_8045	502970	angptl3	0.04404666130329847	0.14635461770628896	-1.1808691	1.1808691	-1.0204228	-1.1373926	-1.0783083	-1.0484306	-1.1234722	-1.0468946	-1.1102434	-1.1808691	-1.0042323	0.63577294	0.01527507	0.08117944	0.29136777	0.0584027	0.26969504	0.12320342	0.0032103872	0.9242393			
ANXA1_33262	25380	anxa1	0.042124176482331806	0.14156126147560835	1.3147589	1.3147589	-1.1481118	1.0565763	1.0478212	1.300818	-1.1162483	-1.1980114	-1.0373507	-1.1609957	1.3147589	0.5062473	0.7960136	0.79307306	0.031069234	0.49862677	0.30729723	0.74212337	0.2529889	0.13086167			
ANXA4_32944	79124	anxa4	0.002982107355864811	0.02216975563687876	1.1853418	1.1853418	1.0633847	-1.0727037	1.0435258	-1.1094956	-1.0081216	1.0190831	-1.067668	-1.0680615	1.1853418	0.24159251	0.28233877	0.58098465	0.2023468	0.8722753	0.7909587	0.17544687	0.29281375	0.008702457			
ANXA5_32426	25673	anxa5	6.119951040391676E-4	0.007541514471033837	-1.2682827	1.2682827	-1.0320807	1.0718079	1.0603566	1.0857376	-1.0102719	-1.0578414	-1.0592812	-1.2682827	1.2472329	0.6732979	0.24843486	0.4768413	0.20078729	0.86986256	0.5096094	0.5582233	0.008673639	0.009180273			
AP2M1_8054	116563	ap2m1	0.03904685622747297	0.1362301921508291	-1.0579374	1.0579374	-1.0579374	-1.0574834	-1.0211303	-1.0470139	-1.0354654	-1.0009387	-1.0206214	1.0087516	1.0194587	0.13532272	0.027039062	0.29340926	0.05593458	0.115001835	0.9650747	0.33100805	0.71524614	0.38304618			
AP3M1_32866	171126	ap3m1	0.027833400080096115	0.11255625613785637	1.1181346	1.1181346	-1.0793151	1.0101426	1.0833023	-1.0165219	-1.0399845	-1.0064391	-1.0164661	-1.0363938	1.1181346	0.23118646	0.8689272	0.23502225	0.83786714	0.5595832	0.915511	0.7573944	0.5030473	0.18080792			
APEX1_8058	79116	apex1	0.005177220230983672	0.03418712937337319	1.1498744	1.1498744	1.0626544	-1.0072953	1.0604292	-1.0341477	-1.0654144	1.0226408	1.0643435	-1.0426469	1.1498744	0.31344536	0.9165197	0.24338165	0.55627644	0.08494973	0.7007765	0.14108944	0.2653219	9.268836E-4			
APOA1_33150	25081	apoa1	0.005389221556886228	0.03493849485410667	-1.0735672	1.0735672	1.0055035	1.0238016	1.0214288	1.0262593	1.0146412	-1.001104	1.0077349	-1.0735672	-1.0131708	0.75554717	0.100880854	0.22173202	0.10611576	0.5225202	0.95505226	0.68164766	0.005001306	0.36496785			
APOA2_33095	25649	apoa2	4.0257648953301127E-4	0.005692378759607025	1.0633396	1.0633396	-1.0163788	1.0202689	1.0067242	1.0011322	1.0213227	1.00074	1.0452682	1.0209352	1.0633396	0.4536723	0.22515021	0.70218915	0.9217591	0.07017142	0.9686391	0.006236916	0.16965428	0.011976265			
APOH_32855	287774	apoh	0.0022150624244865083	0.01828193364767852	1.0410366	1.0410366	1.0110278	1.004557	1.002935	-1.0010035	1.0065783	1.015303	1.0313059	1.0410366	1.0143775	0.08207137	0.36687937	0.4958815	0.7955498	0.32761195	0.014816607	0.12055915	0.0071253553	0.022532696			
APOM_32774	55939	apom	0.0054249547920434	0.03493849485410667	1.0777009	1.0777009	-1.0410169	-1.0027328	1.0005207	1.0019867	1.005412	-1.016952	1.0564647	1.0262975	1.0777009	0.3108303	0.9333055	0.98830795	0.9328023	0.86042607	0.62559736	0.043013584	0.43645632	0.101138175			
APON_8066	304603	apon	1.967342120794806E-4	0.0036967747116988152	1.1494285	1.1494285	1.0027004	1.014464	1.0515281	-1.0145502	1.0599806	-1.0272595	1.047791	1.1152596	1.1494285	0.9304513	0.64250314	0.12738007	0.6472195	0.048238866	0.36014074	0.4471137	8.251913E-4	9.318616E-5			
ARF1_32413	64310	arf1	2.0230629172567267E-4	0.0036967747116988152	1.0808785	1.0808785	-1.0051742	-1.0107993	-1.0122135	-1.0117822	1.0123119	1.0040747	1.0105352	-1.0217209	1.0808785	0.67183214	0.2446319	0.46583846	0.45187488	0.3473782	0.82668465	0.24349761	0.07773091	0.03774779			
ASGR2_32685	29403	asgr2	0.0393574297188755	0.13627074670362865	-1.0517803	1.0517803	-1.0160133	-1.0517803	-1.0287199	-1.0302268	-1.0126977	1.0240129	-1.011639	1.034927	1.0249807	0.53866273	0.04929458	0.23599595	0.32327655	0.5998551	0.41306615	0.70279986	0.2841992	0.291023			
ASS1_33159	25698	ass1	0.025326474079936684	0.10654820412661535	-1.1564704	1.1564704	-1.0279547	-1.1564704	-1.1038862	-1.1029823	-1.1340456	-1.0338837	-1.1187423	-1.0192866	-1.1475391	0.61901724	0.014743041	0.11148064	0.14236362	0.1582976	0.5070644	0.030563029	0.75068176	0.032344494			
ATF6_8098	304962	atf6	0.0030284675953967293	0.02216975563687876	1.1128682	1.1128682	-1.0450429	-1.0614736	-1.0272441	-1.0012267	1.0413939	1.0123038	1.023847	1.0119243	1.1128682	0.40757608	0.46505126	0.41994876	0.9788818	0.2108869	0.69005483	0.41277766	0.7092085	0.046793535			
ATF6B_32767	406169	atf6b	0.030006001200240048	0.11888453640095106	-1.9540946	1.9540946	-1.0811502	-1.4680061	-1.169691	-1.279583	-1.3174967	-1.0553426	-1.9540946	-1.3418834	-1.1636373	0.537468	0.012593649	0.32696933	0.027168285	0.06920818	0.58834255	1.7714381E-4	0.0895014	0.31967792			
ATP5C1_8109	116550	atp5f1c	0.01195933824995017	0.06387837665929015	1.0761547	1.0761547	1.0192006	1.0654167	1.0306842	1.0297383	1.045563	1.0209368	1.050659	-1.0002198	1.0761547	0.5337581	0.03668285	0.3844759	0.3669945	0.16613448	0.5841462	0.10517884	0.9945744	0.054632906			
ATP5L_33116	300677	atp5mg	4.075810067250866E-4	0.005692378759607025	1.1443713	1.1443713	-1.040648	1.0762491	1.0018572	1.0028491	1.0016165	-1.0445306	-1.0359442	-1.1065657	1.1443713	0.31774858	0.11239884	0.97164696	0.93891805	0.97246385	0.34584084	0.56624234	0.03136057	0.012032437			
ATP6V0D1_33093	291969	atp6v0d1	0.01998800719568259	0.09040818283596316	1.1249566	1.1249566	1.0463382	-1.0244113	1.023372	1.0789981	-1.0071149	1.047691	1.0727947	-1.0124002	1.1249566	0.52875215	0.7280297	0.5730491	0.117299676	0.91339594	0.36714587	0.114191115	0.7399915	0.010776402			
ATP6V1D_8113	299159	atp6v1d	4.038772213247173E-4	0.005692378759607025	1.0958998	1.0958998	-1.0281434	1.0408838	1.0364925	1.0120445	1.0063177	1.0029436	-1.0303679	1.001237	1.0958998	0.3418234	0.13677388	0.09391745	0.5735593	0.82053	0.89508253	0.56266785	0.96098834	0.011305579			
BACE2_8127	288227	bace2	0.011142625607779578	0.06097275900760503	-1.1342397	1.1342397	-1.1342397	-1.0211117	1.0480703	-1.0206401	-1.0194647	1.0282251	-1.0139694	-1.0745847	1.13192	0.13752058	0.7470405	0.6205731	0.79233146	0.7551173	0.6055712	0.8817601	0.2471557	0.046880364			
BCL2A1_8136	170929	bcl2a1	0.04593569003395247	0.15134601032239076	1.4512165	1.4512165	1.0858002	1.1787035	1.0820184	1.2395626	1.285294	1.0201238	1.0435634	-1.0086479	1.4512165	0.7017026	0.4326875	0.7730868	0.29988918	0.23747794	0.9303598	0.87493795	0.97431856	0.0911385			
BCL2L2_32990	60434	bcl2l2	1.9782393669634025E-4	0.0036967747116988152	1.232548	1.232548	-1.0745392	-1.1301876	-1.1586692	-1.1579355	-1.0146377	1.1084403	1.0274049	-1.0180708	1.232548	0.3123574	0.27386525	0.10424273	0.1725931	0.83050644	0.1814595	0.69980913	0.80052626	0.010535095			
BLCAP_8149	171113	blcap	0.02927611790655705	0.11658301405537348	-1.3913748	1.3913748	-1.1015565	-1.3913748	-1.2460029	-1.2021853	-1.2772943	-1.0903878	-1.3642063	-1.1508447	-1.1232169	0.18489471	0.0035310674	0.015321065	0.0783271	0.0021597587	0.2752304	0.0047958368	0.2286695	0.15893506			
BLOC1S2_33034	293938	bloc1s2	0.03760752150430086	0.13226015989714798	-1.1408422	1.1408422	-1.0506802	-1.1028085	1.0233029	1.012841	-1.1408422	-1.0129327	-1.098026	1.043328	1.0673988	0.16852452	0.120155364	0.58267957	0.7525482	0.08405748	0.6119926	0.23254149	0.10903389	0.19877861			
BPHL_8157	361239	bphl	0.013805522208883553	0.06926845430495066	1.109508	1.109508	-1.0193926	-1.0613717	-1.0318528	-1.0211124	1.0067272	1.0172198	-1.013991	1.109508	1.1089977	0.7116344	0.23776743	0.4964703	0.74976784	0.9013477	0.73014617	0.8512891	0.09406545	0.09081673			
C1QA_8167	298566	c1qa	0.03451735902067028	0.12800868925912084	-2.7820437	2.7820437	-1.1723143	-1.2646881	-1.0529531	-1.2084007	-1.3431374	-1.5148422	-2.7820437	-1.5367321	-1.6497979	0.3727216	0.19836845	0.8062113	0.44330484	0.1333978	0.08748121	0.03504402	0.015880235	0.05690349	10.0	30.0	
C1QBP_8169	29681	c1qbp	4.0241448692152917E-4	0.005692378759607025	1.1529047	1.1529047	1.041687	-1.0575619	-1.0005083	1.0025685	-1.0327532	1.002417	1.011796	1.0310051	1.1529047	0.3035488	0.18604825	0.9868937	0.9528451	0.62081605	0.9422962	0.7597812	0.47711742	0.0012837207			
C1S_8172	192262	c1s	0.002185575203655871	0.01828193364767852	-1.2142355	1.2142355	-1.0614716	-1.1805648	-1.1156586	-1.1002764	-1.1031172	-1.0572761	-1.093875	-1.0125124	-1.2142355	0.30459675	0.005935635	0.116704024	0.2601645	0.1596055	0.3635486	0.07883818	0.8093885	0.003191482			
C8B_8181	313421	c8b	0.03918810289389067	0.1362301921508291	-1.2184924	1.2184924	-1.0044429	-1.1638205	-1.068651	-1.06461	-1.1218379	-1.0195585	-1.1712048	1.0055865	-1.2184924	0.9521585	0.035424855	0.42544377	0.46243	0.20801222	0.8185592	0.035309084	0.9423093	0.12992243			
CAR5A_32361	54233	car5a	0.03708845696152321	0.13191689805632686	-1.0854069	1.0854069	-1.0391145	-1.0648654	-1.0342914	-1.0203387	-1.0353711	-1.0479991	-1.0458606	-1.0854069	-1.047432	0.28121427	0.05371291	0.044046246	0.30856794	0.25786033	0.027184164	0.23088269	0.017416293	0.08630532			
CASP3_8201	25402	casp3	2.0230629172567267E-4	0.0036967747116988152	1.1439922	1.1439922	-1.0549625	1.0025501	-1.007936	-1.0721165	-1.0056881	-1.0031313	-1.0175635	-1.0413382	1.1439922	0.11199287	0.9633036	0.8251116	0.08615682	0.85942745	0.9171275	0.6268129	0.21907943	8.1425195E-4			
CASP7_8203	64026	casp7	0.031984205330700885	0.12331321644526415	1.1154739	1.1154739	1.0258707	-1.0679001	1.0262835	-1.0660647	-1.0604637	-1.0192013	1.0184708	-1.0368446	1.1154739	0.5682196	0.49419016	0.57797813	0.29216772	0.27044415	0.6843323	0.7308271	0.63613117	0.11689978			
CAV1_32536	25404	cav1	0.012407444466680007	0.06515990130991346	1.2654474	1.2654474	-1.0346812	1.1024415	1.0214218	1.0806202	-1.0358075	1.0118337	-1.0630459	-1.2593316	1.2654474	0.73463064	0.25901353	0.88300925	0.5339699	0.6940275	0.9189229	0.68956333	0.04253233	0.014036713			
