Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Thyroid_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:29.58
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: thyroid
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
DPYS_8494	65135	dpys	0.011356961033875073	0.6472978303747534	-2.040305	2.040305	1.0779684	-1.2252787	-1.3746667	1.0514822	1.0938739	-1.2807902	-1.5385107	-1.296191	-2.040305	0.7183087	0.28566545	0.119674	0.83025366	0.54540783	0.3160308	0.059266113	0.20994814	0.011987745	100.0	300.0	
DYNLT3_8507	363448	dynlt3	0.04068267513395515	0.7930621185611749	1.0482701	1.0482701	-1.0088961	1.0158808	1.0158708	1.017895	1.0115901	1.0185788	1.0042703	1.0056897	1.0482701	0.6800688	0.35254562	0.31905502	0.46342924	0.61078525	0.390477	0.7674389	0.78418213	0.12107559			
EAPP_8512	299043	eapp	0.03173359451518119	0.7577163318082355	1.033561	1.033561	1.0060664	1.0075629	1.0088968	1.0096785	1.0090454	1.0162339	1.0064914	1.0077778	1.033561	0.6787441	0.50150853	0.46938998	0.5646482	0.49518022	0.18020716	0.6146138	0.57997036	0.008086107			
ECD_8515	688968	ecd	0.004042037186742118	0.500994708994709	-1.1570573	1.1570573	1.0490968	-1.0213492	-1.0017993	1.0449075	-1.0074981	1.0122664	1.0636827	1.0024785	-1.1570573	0.09523167	0.51527685	0.975296	0.08752474	0.8539081	0.725312	0.15157346	0.9364815	0.0082833925			
ECH1_8516	64526	ech1	0.041191761647670466	0.7930621185611749	1.0500594	1.0500594	1.0079936	-1.0084238	1.0135053	1.0313212	-1.0006839	-1.0051101	1.0034161	1.0098191	1.0500594	0.62794316	0.6957253	0.38658628	0.09211929	0.9707811	0.80400604	0.8520575	0.71454966	0.25631985			
ECHS1_8519	140547	echs1	0.018057784911717497	0.7467403654230002	1.0537605	1.0537605	1.0216618	1.0163435	1.0343654	1.0537605	1.0215954	1.0324163	1.0287919	1.0228285	1.0437802	0.21025814	0.29951257	0.033346035	0.009520656	0.09696701	0.0979187	0.048093256	0.17834632	0.0847617			
ECI1_8520	29740	eci1	0.006802721088435374	0.5630559916274203	1.0749601	1.0749601	-1.0087337	1.0115145	1.0124524	1.0339804	-1.0061265	1.0338856	1.0051123	-1.002766	1.0749601	0.757434	0.6102695	0.5618781	0.074447654	0.804191	0.10278415	0.8560327	0.9031607	0.03413148			
ECI2_8521	291075	eci2	0.011940298507462687	0.6472978303747534	1.0685586	1.0685586	-1.003157	-1.0048593	1.0271844	1.0425048	-1.0093579	1.0230962	1.0358303	1.0134771	1.0685586	0.8911226	0.8675085	0.100818194	0.10860575	0.7146286	0.285657	0.026882395	0.6810727	0.06482038			
EIF1A_8536	317163	eif1a	0.0499378367177787	0.8151527703140711	-1.1066408	1.1066408	1.0442733	1.0461631	1.0501263	1.0454398	1.0251391	1.0782294	1.0637333	1.0417364	-1.1066408	0.41143188	0.3867967	0.3547128	0.38577864	0.6364749	0.16144766	0.2740107	0.4341158	0.3161273			
EIF2AK2_8539	54287	eif2ak2	0.013478691774033697	0.6880415008015562	1.1283486	1.1283486	-1.0043344	1.0893679	1.0179319	-1.0129216	1.0365871	1.0729659	1.0274322	1.0934919	1.1283486	0.9058152	0.14479434	0.73235935	0.70320886	0.3351668	0.076524824	0.31345874	0.054838665	0.005069446			
ERBB3_8571	29496	erbb3	0.008479475814222393	0.5983227616886182	1.6820751	1.6820751	1.2146357	1.2633902	1.5271434	1.4490385	1.477215	1.6005195	1.3206797	1.2132251	1.6820751	0.48588344	0.34653398	0.069842376	0.15702327	0.095420584	0.040563058	0.24878848	0.41231284	0.09017828			
ESM1_32480	64536	esm1	0.023128679562657694	0.7541351275581721	-1.7090333	1.7090333	-1.0870911	-1.0063916	1.1013964	-1.0387594	-1.0881578	1.0103421	-1.0588598	-1.0562146	-1.7090333	0.28515592	0.96385795	0.1452646	0.5858872	0.24742699	0.89718354	0.5222286	0.5566992	0.3088625			
ETFDH_8575	295143	etfdh	0.011137162954279016	0.6472978303747534	1.6476512	1.6476512	1.5421836	-1.0507822	1.5611062	1.3602912	1.2855535	1.2636555	1.4244776	1.4025302	1.6476512	0.03326193	0.8827286	0.05226443	0.17083867	0.20131719	0.32499108	0.07138482	0.137159	0.032110542			
F3_32469	25584	f3	0.02248995983935743	0.7467403654230002	1.0973042	1.0973042	1.0157838	1.0118864	-1.002362	1.0354187	1.006383	1.0778438	1.0064332	1.0445273	1.0973042	0.61610526	0.73241353	0.9501222	0.3107658	0.856927	0.04935291	0.8485761	0.24080864	0.002191625			
