Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: In Vivo
Test Article: Perfluoro 3 Methoxypropanoic Acid
Species: Rat
Strain: Sprague-Dawley
Sex: Male
Organ: Liver
Chip File Creation Date: 10/31/24
Log Transformation: BASE2
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/04/2025 07:38.05

Something	A36	A38	A20	A18	A33	A45	A44	A16	A15	A46	A41	A37	A30	A29	A8	A26	A40	A35	A1	A3	A12	A17	A42	A24	A4	A7	A11	A51	A32	A22	A2	A14	A39	A5	A6	A9	A31	A48	A21	A49	A47	A34	A13	A27	A28	A50	A25	A10	A23	A43	A19
ACO1_7966	7.1038523	5.4950523	4.494753	5.2610955	4.424204	6.818694	4.982539	5.074458	6.1763225	4.343196	4.215834	6.846328	6.48172	5.395548	7.05582	4.174241	4.339067	4.8103905	7.334726	6.668628	6.684255	5.155557	6.63169	6.2357554	7.2265854	6.987266	7.0424047	7.647331	4.436806	7.0237446	5.5565214	3.9212065	4.9372616	4.935233	6.0455284	4.2843966	4.580281	5.7079153	6.0466185	5.936621	5.352524	6.124657	4.177663	6.44357	4.657249	5.9467025	6.4653163	5.4634604	4.993191	6.79957	5.501328
ACO2_7967	2.5931726	2.257008	2.713711	2.3223944	2.472159	3.7265353	3.3483052	2.3676975	3.0110276	2.8265579	1.70226	3.2219887	3.0294778	2.3926249	3.2605107	1.5335042	1.8765994	3.2644873	3.1345234	3.4974551	3.0217755	2.7430372	3.326703	3.2424362	3.5673409	3.4306927	3.5795677	3.8571408	2.5195544	3.251095	3.07545	0.77186805	3.0101936	1.9587818	2.9855762	1.3212922	1.6862907	3.49237	2.6341627	3.4268885	3.4754093	3.0813484	2.99374	3.3300724	2.2125611	2.911615	3.2250526	3.0546732	2.762189	2.9431233	2.838406
ACOT12_32718	8.846664	7.723965	7.3965797	7.4681854	7.9725804	8.83324	7.552683	7.270237	7.6034923	7.4145637	7.230949	8.060384	8.464693	7.8176284	8.391225	7.2263947	7.362221	7.832424	8.51864	8.025416	8.107982	7.8107014	8.67701	8.298151	8.75908	8.450916	8.159041	8.821727	7.8234496	8.157177	7.6903467	6.762041	7.5327883	7.8933716	8.334494	7.1333737	7.2879868	8.328399	7.607356	8.2747555	8.102974	8.052246	7.132446	7.9883337	7.7873535	8.421598	7.887176	7.975552	7.622211	8.325609	7.752983
ACOT2_7969	4.2667212	2.987318	1.9183995	3.0594068	2.011671	3.3678806	2.8324869	1.7560883	4.1656966	1.823375	2.5750768	3.4076753	2.919921	3.2482674	4.4677963	3.3887968	2.7821121	3.1690745	3.8843899	3.2961977	3.0217755	2.5224707	4.0049734	4.010254	3.8488257	3.5154157	3.65531	6.5094476	2.004529	3.8840604	3.2357452	2.1818647	2.8779507	2.7601511	2.5470278	2.8064463	3.5048723	3.9763792	3.242334	5.3017626	5.5794387	2.9874854	2.7439313	3.6604056	3.1498733	5.7853985	3.3209047	2.2186248	2.075009	3.9117455	3.7990685
ACOT4_7971	4.117802	3.7655318	3.111882	3.4599617	4.318538	3.661585	3.0613632	3.6199527	4.047455	2.6036353	3.448644	3.3178172	2.8013556	3.2482674	2.7953992	3.971344	3.2556021	3.7985182	2.9230795	3.0622413	2.889376	3.391122	2.5404441	4.010254	3.4029047	2.6363633	3.65531	4.306832	3.4460533	2.6423824	3.3096738	2.7354863	3.917761	3.1603029	3.1064248	2.5840793	4.284343	3.6479805	3.242334	5.1928163	5.396525	2.6625395	3.4765677	2.7702174	3.2451313	5.641965	3.3209047	2.9218345	3.1230586	2.8118143	2.9574547
ACOX1_7973	8.549949	7.6579943	6.5985913	7.0845013	7.454243	8.405066	7.38313	7.225093	7.709503	7.6911545	7.6162205	8.257542	8.158935	7.2130766	8.251312	6.793156	7.470517	7.2564373	8.31406	7.8248167	8.232767	7.2870917	8.87319	8.007507	8.32303	8.15334	8.476048	10.340061	7.0889006	8.11004	7.412722	6.388449	7.3199096	7.0166574	7.930185	6.911838	6.9598207	8.923336	7.9142404	10.072642	9.564196	7.883362	6.5751457	8.199899	7.0093236	9.609811	7.663189	7.9586964	6.706997	8.800688	7.336059
ACOX2_32902	6.613372	6.8771276	7.0253787	6.203515	6.813063	6.5492644	5.2143483	6.5040216	5.8802776	6.55352	6.165487	6.440795	6.5291266	6.573392	6.7186236	5.756401	6.7097993	7.1291256	6.964755	6.302658	6.216322	5.903185	6.93126	6.1151133	7.4589896	7.108134	5.8825984	6.6053796	5.682379	6.472985	5.8569765	5.596968	6.24415	7.040585	6.451297	6.5914083	6.6556764	7.1300073	5.8970385	6.951795	7.030055	6.320226	6.168322	6.023326	6.889118	6.4122286	6.378874	6.346937	6.042472	6.700959	6.008286
ACSM3_7976	4.5251174	4.268282	4.1440635	5.5345488	5.1025486	5.555678	5.762088	5.2649307	3.9186504	4.1910696	3.617124	2.455695	4.286138	5.2687173	3.9565632	4.8788834	5.180765	5.9077983	4.150632	3.831355	4.338317	5.174639	4.9311295	4.3031607	3.6430259	3.8118882	4.8434935	4.70353	5.44647	3.8840604	4.6593394	4.474071	3.9835975	4.4067645	4.3488812	4.3565435	4.488219	6.185435	3.3383183	6.0903225	4.609299	4.643371	3.7038848	5.9037127	4.166973	5.603762	4.0370674	4.518974	4.4730663	3.7052414	4.60755
ACSS2_7977	4.3131304	4.3146935	1.9183995	3.2735412	3.7957757	3.661585	3.1634846	3.1256318	4.326662	2.6036353	3.3878083	3.8537283	4.371847	3.7054071	4.2844353	3.3220272	3.0843768	3.066902	4.456222	3.6740434	3.4555352	2.5224707	3.4902585	4.164128	3.9113815	4.1664968	4.557952	3.9043298	1.8408495	4.9611974	3.3096738	2.3909085	3.4435291	3.038847	3.8226066	2.905972	3.7623768	3.49237	3.8094523	3.7059622	3.8365083	3.7861276	1.8208362	4.6401196	2.8193185	3.2451882	4.1971946	3.965136	3.321599	4.3026175	3.8614638
ACTN1_7980	3.3839397	4.220327	2.1619017	3.1704433	2.8206856	3.522194	2.8324869	3.7531235	3.7772083	4.269137	2.2036915	3.3178172	2.919921	3.781712	3.8283224	3.3887968	3.546998	3.066902	3.6291769	4.480447	3.6316473	3.254318	3.7053368	3.1471999	3.0042105	3.0310833	2.621851	3.651246	2.8125298	3.0373778	3.8941805	2.5734606	3.7000437	2.7601511	3.7502577	2.9990726	2.4426951	3.6479805	4.110652	3.8275614	2.7428484	3.4055345	3.30232	3.504673	3.3344872	3.671778	3.7229755	3.4896183	3.2257414	3.7052414	3.9786994
